protID	matched	geneID	cov1	cov4	cov9	cov14	rpkm1	rpkm4	rpkm9	rpkm14	groupID	nsaf1	nsaf4	nsaf9	nsaf14	nadjspc1	nadjspc4	nadjspc9	nadjspc14
AC149828.2_FGP002	x	AC149828.2_FTG002	662.5	166.2301591	91.58721926	72.05908466	70.57174754	17.70740049	9.756181307	7.675978159	281	0.000108702	0	0	0	0.000120732	0	0	0
AC155610.2_FGP007	x	AC155610.2_FTG007	36.28333333	1668.016235	4.257544523	0.442080274	1.859015901	85.46261932	0.218139907	0.022650462	524	0	0.000385054	0	0	0	0.000551604	0	0
AC189750.4_FGP004	x	AC189750.4_FTG004	636.5	622.6490497	3880.671379	6932.113416	28.25089139	27.63612047	172.2426169	307.6800993	195	0	0	0	4.32517E-05	0	0	0	6.49407E-05
AC192362.3_FGP003	x	AC192362.3_FTG003	102.35	111.6769626	86.97741622	90.98012038	5.303334577	5.786617461	4.506793736	4.714196563	21	3.88072E-05	0	0	0	6.8173E-05	0	0	0
AC194965.4_FGP002	x	AC194965.4_FTG002	5855	1441.232617	243.449788	492.9195055	713.2676041	175.5737892	29.65753151	60.04842267	258	0.000824266	0.000820735	0.000285695	0.000452306	0.000571729	0.000583859	0.00020586	0.000298799
AC196489.3_FGP002	x	AC196489.3_FTG002	4106.066667	870.0139979	122.8903913	366.8824194	563.1096558	119.3144979	16.8532982	50.31458319	97	0.001944658	0.001492833	0.000678512	0.000271549	0.001341992	0.001069921	0.000496075	0.000180439
AC196961.2_FGP003	x	AC196961.2_FTG003	2297.830556	32.52382421	9.58449709	19.77081225	506.0204985	7.162286922	2.110665637	4.353861622	2	0.001867657	0.001591009	0.000483243	0.000550343	0.00076525	0.000696048	0.000212952	0.000216079
AC197246.3_FGP003	x	AC197246.3_FTG003	753.4166667	326.6527354	52.79529165	128.6453597	128.7697564	55.82965577	9.023475513	21.98734427	151	0.00018378	7.40349E-05	6.71334E-05	0	9.93377E-05	4.37609E-05	3.77342E-05	0
AC197672.3_FGP002	x	AC197672.3_FTG002	2389.333333	3014.9289	806.1066936	385.0027986	23.52612936	29.68594055	7.937180671	3.790858946	326	3.06282E-05	1.1659E-05	0	0	0.000267967	0.000109402	0	0
AC198361.3_FGP004	x	AC198361.3_FTG004	838	314.1807131	206.3974087	328.9077238	43.22594511	16.20615544	10.64644756	16.96580813	399	5.55972E-05	0	0	0	5.25906E-05	0	0	0
AC198937.4_FGP004	x	AC198937.4_FTG004	508.1666667	455.2764152	157.0812137	157.8226578	96.98585016	86.89151234	29.9796426	30.12115049	233	0.000704848	0.000446564	0	0	0.000243654	0.000154953	0	0
AC202930.4_FGP003	x	AC202930.4_FTG003	2623.75	744.9891152	116.2018281	215.0720533	361.9910331	102.7839464	16.03202279	29.67285555	39	0.000951331	0.002691455	0.000784827	0.000187836	0.000449942	0.001361957	0.000415317	8.22582E-05
AC203173.3_FGP004	x	AC203173.3_FTG004	6013.85873	2203.852121	407.1224402	934.7092699	163.1902563	59.80306631	11.04755172	25.36398877	58	0.00209661	0.000914319	0.000681954	0.000492276	0.006622798	0.002988286	0.002271486	0.001470502
AC204539.4_FGP003	x	AC204539.4_FTG003	235.35	215.1852266	176.155361	213.4805643	24.61237576	22.50358894	18.42193303	22.32531917	99	0	0.000407498	0.000186043	0	0	0.000250181	0.000117642	0
AC207722.2_FGP009	x	AC207722.2_FTG009	35776.25	100466.6329	105401.8771	78054.1942	3175.839601	8918.372147	9356.471267	6928.831305	531	0.002182685	0.005093976	0.013371036	0.012130511	0.001197566	0.002930558	0.007843702	0.006378669
AC207890.3_FGP002	x	AC207890.3_FTG002	2738.666667	651.7821704	197.8736219	227.0819007	63.54852465	15.12407327	4.591495887	5.269250157	540	7.52519E-05	0	0	0	0.000275719	0	0	0
AC208348.3_FGP005	x	AC208348.3_FTG005	912.6666667	355.8810623	274.227368	320.192427	55.44396593	21.61956629	16.65915213	19.45150257	88	9.6094E-06	0	0	0	1.55824E-05	0	0	0
AC208915.3_FGP010	x	AC208915.3_FTG010	1286.980556	19401.33273	36064.77063	10410.64381	113.3658077	1708.998435	3176.824881	917.038753	527	0	0.000408725	0.006961246	0.004371212	0	0.000223053	0.004084896	0.002326711
AC209208.3_FGP002	x	AC209208.3_FTG002	8674.583333	7471.502977	1683.839289	1624.866047	685.0686198	590.0562639	132.9799269	128.32256	141	0	0.000809688	0.000147646	0.000167388	0	0.000461058	8.92931E-05	9.18677E-05
AC209819.3_FGP011	x	AC209819.3_FTG011	1244.333333	933.2119243	467.2426798	387.26232	115.8470761	86.88176229	43.50015938	36.05401084	87	1.69578E-05	4.72828E-05	0	0	1.9478E-05	5.93898E-05	0	0
AC209919.3_FGP002	x	AC209919.3_FTG002	1414.469048	803.6960256	395.5360128	427.1793619	55.09339956	31.30386369	15.4060802	16.63858485	506	0.000291104	9.41642E-05	0	4.01822E-05	0.000618226	0.000215679	0	7.79288E-05
AC211955.4_FGP013	x	AC211955.4_FTG013	5590.283333	1860.045028	308.9611778	590.619246	522.5780748	173.8764731	28.88160186	55.2109169	82	0.000478514	0.00015678	0.000182273	8.69122E-05	0.000560316	0.000196924	0.000225481	0.000100526
AC212565.3_FGP001	x	AC212565.3_FTG001	7259.377778	189.8127539	130.0718267	163.1055171	748.9104185	19.58194674	13.41880105	16.82670675	2	0.000800425	0.000681861	0.000207104	0.000235861	0.00076525	0.000696048	0.000212952	0.000216079
AC212827.3_FGP003	x	AC212827.3_FTG003	1217.716667	203.3606071	57.38769923	52.01811223	94.8598359	15.84174245	4.470487987	4.05219845	538	0.000153359	0.000267936	0	0	0.000161221	0.000296949	0	0
AC213621.5_FGP005	x	AC213621.5_FTG005	4502.166667	1835.19619	290.1566605	589.1456451	726.1338339	295.990385	46.79803834	95.02060177	238	0.000304298	0	0	0	0.000185041	0	0	0
AC217300.3_FGP005	x	AC217300.3_FTG005	507.5	1413.241972	1553.85154	1239.151008	52.1212272	145.1426717	159.5835452	127.2631945	638	5.40529E-05	0.000365183	0.000583316	0.000278741	5.8434E-05	0.000414172	0.000677731	0.000291327
AC220999.3_FGP006	x	AC220999.3_FTG006	520.5	184.5097643	43.09730973	57.7651558	16.67240077	5.910126292	1.380471892	1.850305145	592	9.71483E-05	0	0	0	0.00026835	0	0	0
AC225147.4_FGP002	x	AC225147.4_FTG002	1018.516667	268.8434842	71.11273551	147.6548115	148.5771204	39.21780763	10.37364022	21.53929083	21	0.000266702	0	0	0	0.000146992	0	0	0
AC230013.2_FGP007	x	AC230013.2_FTG007	2893.916667	1125.62381	233.7952948	460.7950056	370.2682208	144.0202926	29.91342799	58.95738077	684	0	5.61395E-05	1.12829E-05	0	0	5.48139E-05	1.10983E-05	0
AC233850.1_FGP006	x	AC233850.1_FTG006	2046	8804.866882	5066.521471	2087.060973	179.5347706	772.6196266	444.5829766	183.1378363	480	0.000988883	0.002568266	0.004168911	0.003754856	0.001086159	0.002899095	0.004819783	0.003955543
AC233851.1_FGP012	x	AC233851.1_FTG012	1000.5	260.7699919	43.83661777	111.1095089	249.0650071	64.91622178	10.91271116	27.65966079	373	0	0.0001523	0.000139006	0	0	5.62641E-05	4.88325E-05	0
AC233859.1_FGP003	x	AC233859.1_FTG003	513.4285714	257.1385525	120.3270427	237.7528765	83.99152104	42.06516612	19.68424022	38.89387316	700	0.002603509	0.001120102	0.000599447	0	0.001264189	0.000549254	0.000302883	0
AC233865.1_FGP001	x	AC233865.1_FTG001	6256.583333	252.4870458	263.7155259	301.793467	1377.803689	55.60184604	58.07454407	66.45993988	2	0.001867657	0.001591009	0.000483243	0.000550343	0.00076525	0.000696048	0.000212952	0.000216079
