protID	matched	geneID	cov1	cov4	cov9	cov14	rpkm1	rpkm4	rpkm9	rpkm14	nsaf1	nsaf4	nsaf9	nsaf14	nadjspc1	nadjspc4	nadjspc9	nadjspc14
GRMZM2G000256	x	GRMZM2G000256	412.5	1436.091478	224.1408016	222.3663778	22.35164047	77.81575855	12.14524754	12.04909898	0	5.52331E-05	1.71681E-05	0	0	6.02845E-05	2.07658E-05	0
GRMZM2G000481	x	GRMZM2G000481	265	102.3467475	54.92623833	117.814393	11.90811698	4.599083175	2.468181402	5.294141789	2.47218E-05	0	0	0	3.73914E-05	0	0	0
GRMZM2G000560	x	GRMZM2G000560	985.6666667	286.6660992	154.3849137	223.4715785	61.5661631	17.90557844	9.643104612	13.95835744	4.8047E-05	0	0	0	3.8956E-05	0	0	0
GRMZM2G000622	x	GRMZM2G000622	562.3333333	655.5904214	552.3935703	802.9651377	7.935216077	9.251188474	7.794953776	11.33082727	3.96388E-05	0	0	0	0.000214258	0	0	0
GRMZM2G000923	x	GRMZM2G000923	4030.902778	889.4265576	329.006573	531.9625616	254.0858789	56.06454461	20.73875975	33.53198588	0.002324128	0.001088988	0.000122859	0	0.001444185	0.000686568	7.7688E-05	0
GRMZM2G001084	x	GRMZM2G001084	2011.75	5011.696489	1824.681819	1572.788991	53.2649289	132.6942499	48.31194103	41.64259663	0.000141477	0.000296613	0.000148229	1.9223E-05	0.000353396	0.000741607	0.000380641	4.32938E-05
GRMZM2G001119	x	GRMZM2G001119	1009.583333	370.1620039	106.2864026	190.8313182	55.94035151	20.51043429	5.889259983	10.57383841	0.000242818	0.000154653	0	0	0.000204213	0.000126598	0	0
GRMZM2G001241	x	GRMZM2G001241	3332.166667	1.142475321	0.521864497	0	133.8860439	0.045904517	0.020968451	0	0.000191698	0	0	0	0.000214961	0	0	0
GRMZM2G001327	x	GRMZM2G001327	14797.77857	7336.042127	1483.425512	2544.315828	391.7994897	194.2357462	39.27652762	67.36562777	0.00076864	0.00070205	0.000537539	0.000201418	0.001304266	0.001274991	0.000977467	0.000326632
GRMZM2G001500	x	GRMZM2G001500	2198	5372.490195	1377.200408	1087.075394	105.0203608	256.6973879	65.80258586	51.94042313	0.000662584	0.001224774	0.000967132	0.000976895	0.000772	0.001452958	0.001180522	0.001060072
GRMZM2G001514	x	GRMZM2G001514	8310	7524.342461	965.4493199	344.8226137	270.0851739	244.550342	31.3782849	11.20715711	2.05916E-05	0.000183997	0	0	1.9478E-05	0.000185316	0	0
GRMZM2G001645	x	GRMZM2G001645	1805.542063	180.5519034	71.81166116	105.2596641	48.57260787	4.857198833	1.931873939	2.831690544	4.32423E-05	0	0	0	5.8434E-05	0	0	0
GRMZM2G001653	x	GRMZM2G001653	3600	26669.94388	49777.00134	36476.04341	224.656964	1664.330173	3106.319444	2276.276992	0	0	0	0.000692027	0	0	0	0.000173175
GRMZM2G001668	x	GRMZM2G001668	297.5	513.5426566	956.3166912	988.9335729	11.07886584	19.12426957	35.61312378	36.82777271	3.80704E-06	0	0	0	5.53049E-06	0	0	0
GRMZM2G001696	x	GRMZM2G001696	69.25	760.8885635	40492.3796	83609.75806	1.853525703	20.36572577	1083.807457	2237.874883	0	0	0.001021841	0.002377501	0	0	0.002785363	0.005894831
GRMZM2G001713	x	GRMZM2G001713	129.6392857	178.2098289	87.58253053	70.30655214	6.105005245	8.392301258	4.124458148	3.310893509	7.82829E-05	5.20207E-05	2.31676E-05	4.56242E-05	8.06263E-05	5.51485E-05	2.44162E-05	4.52773E-05
GRMZM2G001750	x	GRMZM2G001750	509	966.5341212	1598.992819	1711.734821	23.12973702	43.92078595	72.66067469	77.78384334	9.99347E-05	7.93231E-05	6.86724E-05	0.000129755	0.00011061	9.37734E-05	8.30634E-05	0.000129881
GRMZM2G001755	x	GRMZM2G001755	989	1685.151098	797.9308163	678.1511403	52.51298663	89.47655922	42.36777582	36.00782787	0.000336887	0.000233928	1.85836E-05	0.000231326	0.000393392	0.00027128	2.21966E-05	0.00025306
GRMZM2G001816	x	GRMZM2G001816	957	475.2697333	128.9005308	227.6713411	91.32383594	45.35366265	12.30061748	21.72603992	0	0	1.17724E-05	0.000132605	0	0	6.22975E-06	6.15894E-05
GRMZM2G001887	x	GRMZM2G001887	2418.5	1937.638144	580.0523887	585.756363	167.6784077	134.3394991	40.21594413	40.61140964	0.003463454	0.003708817	0.001119374	0.00018354	0.001433679	0.001587804	0.000502672	7.24128E-05
GRMZM2G001898	x	GRMZM2G001898	383	250.7733329	94.63142881	101.3837429	16.1243911	10.55761696	3.984005661	4.268279688	2.6905E-05	0	0	0	3.58269E-05	0	0	0
GRMZM2G001918	x	GRMZM2G001918	1007.5	1007.853645	72.97405218	103.8888644	21.94765221	21.95535612	1.589686469	2.263143091	0.00020243	3.43673E-05	7.02049E-06	1.53784E-05	0.000634793	0.000105498	2.21966E-05	4.32938E-05
GRMZM2G002178	x	GRMZM2G002178	1611.75	575.8075616	13.82940918	10.60992658	55.53633663	19.84069649	0.476522242	0.365587997	5.54152E-05	6.52716E-05	0	0	0.000132591	0.000168792	0	0
GRMZM2G002220	x	GRMZM2G002220	3480.166667	3909.550547	613.3647389	1007.943025	85.85775875	96.45091163	15.1320689	24.8665473	0.000504941	0.000809976	0.000531267	0.000379358	0.001497018	0.00250422	0.001652111	0.001052183
GRMZM2G002416	x	GRMZM2G002416	1925.933333	5111.902455	134.1117206	65.81943736	80.58844963	213.9016374	5.611749614	2.754138122	0.000945697	0.000763388	0.000206023	0.000235289	0.001625745	0.001347455	0.000380939	0.000367997
GRMZM2G002440	x	GRMZM2G002440	429.3928571	351.8007933	162.1880305	219.9454621	19.74735448	16.1789719	7.458867743	10.11507512	0.000325793	0	0	0	0.000475137	0	0	0
GRMZM2G002520	x	GRMZM2G002520	3386.666667	737.4678194	226.5761692	262.4483226	65.97383006	14.36621356	4.413808371	5.112614479	7.52519E-05	0	0	0	0.000275719	0	0	0
GRMZM2G002603	x	GRMZM2G002603	2046.5	845.4317372	404.1840531	485.8462211	81.60770702	33.71304447	16.11753422	19.37395361	2.13542E-05	0	0	0	3.8956E-05	0	0	0
GRMZM2G002616	x	GRMZM2G002616	981.8333333	233.636203	114.6362346	196.873082	54.27144032	12.91438457	6.33658825	10.88228048	8.64846E-05	0	0	0	5.8434E-05	0	0	0
GRMZM2G002807	x	GRMZM2G002807	762	1454.942321	1132.706891	588.8509249	37.58448111	71.76279812	55.86902986	29.04416859	0.000612849	0.000343207	0.001736725	0.002550243	0.000674368	0.000389946	0.002020235	0.00271985
GRMZM2G002825	x	GRMZM2G002825	4204.5	3867.850198	2948.273477	3442.921174	209.790163	192.9924898	147.1087581	171.7899856	0.002406397	0.001077625	0.000430945	0.000543756	0.001316171	0.000615674	0.000248822	0.000287976
GRMZM2G002874	x	GRMZM2G002874	1831	1009.948183	431.321007	487.1724619	99.29249719	54.76803777	23.38991801	26.4186621	0.000781973	0.000392769	3.51024E-05	0	0.000484524	0.000241138	2.21966E-05	0
GRMZM2G003096	x	GRMZM2G003096	121.6666667	1083.828254	2160.692973	1329.482744	6.371511608	56.75855589	113.1524413	69.62313481	0	0	1.52605E-05	0.000129382	0	0	2.07658E-05	0.00015977
GRMZM2G003157	x	GRMZM2G003157	247.5833333	1256.913266	1607.125208	1340.01899	7.451096672	37.82719186	48.36692813	40.32828424	0	0	0.000117132	3.84459E-05	0	0	0.000303598	8.65876E-05
GRMZM2G003306	x	GRMZM2G003306	13312.33333	443.6612494	128.1177341	134.4660833	993.1143496	33.09760523	9.557720423	10.03131409	0.005061962	0.002176087	0.002064392	0.001085149	0.002096642	0.000938636	0.000901638	0.0004404
GRMZM2G003318	x	GRMZM2G003318	623	1093.348882	1219.075466	1211.299951	29.52057064	51.80783772	57.76533451	57.39689528	5.40529E-05	0.000271463	0.000130485	0.000398202	5.8434E-05	0.000305885	0.000151084	0.000416181
GRMZM2G003384	x	GRMZM2G003384	3503.25	1620.525077	231.7600232	586.9941878	169.8658139	78.57612533	11.23759508	28.46221236	0.000142339	8.72554E-05	0	1.51381E-05	0.000153876	0.000103151	0	1.51528E-05
GRMZM2G003385	x	GRMZM2G003385	2418.033333	1531.583373	1495.715835	1967.036179	71.58002517	45.33881932	44.27704767	58.22934584	0.001085748	0.000565777	0.0003397	0.000477482	0.002318691	0.001247537	0.000767597	0.000950651
GRMZM2G003409	x	GRMZM2G003409	385.75	75.19391735	138.8072585	525.3829336	11.53850768	2.249191426	4.151986048	15.71519122	0.000119656	0	0	0	0.000188522	0	0	0
GRMZM2G003501	x	GRMZM2G003501	87.9	12569.97047	727.3399451	88.44552678	3.142246098	449.3508606	26.00092269	3.16174757	0	0.00018013	0	0	0	0.000378226	0	0
GRMZM2G003752	x	GRMZM2G003752	416.5	10.28227788	0.521864497	0	13.85126354	0.341950878	0.017355301	0	5.40529E-05	0	0	0	5.8434E-05	0	0	0
GRMZM2G003762	x	GRMZM2G003762	3173	2091.301074	17432.36167	48146.07848	125.7987174	82.91301382	691.1341755	1908.829159	3.32633E-05	0	0.000281033	1.33082E-05	2.9217E-05	0	0.000272817	1.08234E-05
GRMZM2G003765	x	GRMZM2G003765	4227	4912.643878	846.986079	910.6853644	220.8570154	256.6813022	44.2542743	47.58250568	0.000704363	0.000672974	0.000318197	0.000144172	0.000574952	0.000591667	0.00027854	0.000108234
GRMZM2G003883	x	GRMZM2G003883	2109.5	3752.46019	4844.72906	5246.608692	72.68739079	129.2991421	166.9356314	180.7832644	1.64902E-05	0	0	0	3.58269E-05	0	0	0
GRMZM2G003897	x	GRMZM2G003897	2094	567.8102343	159.6905362	286.4680175	165.1821925	44.79089752	12.59695935	22.59761949	0.00034401	0	0	0	0.000188522	0	0	0
GRMZM2G004057	x	GRMZM2G004057	3980.033333	1694.2909	291.2003895	455.7110825	175.6316578	74.76598678	12.85014543	20.10970416	0.000762603	0.000755187	0.000206785	0	0.000586098	0.000566675	0.000159815	0
GRMZM2G004111	x	GRMZM2G004111	3331.5	1335.55365	1074.519	1082.212511	335.1381113	134.3523721	108.0931317	108.8670739	0.000204478	4.23056E-05	0.000219752	0.000103804	7.16538E-05	1.56289E-05	8.30634E-05	3.24703E-05
GRMZM2G004131	x	GRMZM2G004131	407.5	234.2074407	182.9135063	206.0094077	16.92765549	9.729037716	7.598274401	8.557684124	0.000238056	0.000201188	6.54686E-05	9.22702E-05	0.00024191	0.000215458	7.33958E-05	8.65876E-05
GRMZM2G004172	x	GRMZM2G004172	2425.416667	1348.025672	880.1679631	876.129423	139.4514891	77.50593534	50.60604011	50.37384065	0.000340797	0.000815825	0.000346443	0.000194073	0.000214961	0.000522459	0.000220535	0.000119827
GRMZM2G004183	x	GRMZM2G004183	4000.5	1099.061258	480.3762697	171.085066	141.8290539	38.96483401	17.03069913	6.065450082	4.35104E-05	0	0	0	7.47829E-05	0	0	0
GRMZM2G004259	x	GRMZM2G004259	293.1666667	65.88274349	49.14224016	86.5003736	14.06618338	3.16106453	2.357852513	4.150301708	0.000108776	0	0	0	3.73914E-05	0	0	0
GRMZM2G004298	x	GRMZM2G004298	216.4166667	185.5570333	11.04613186	13.5571284	11.28184158	9.673123087	0.575836934	0.706735656	8.51992E-05	0	0	0	5.37403E-05	0	0	0
GRMZM2G004352	x	GRMZM2G004352	77.5	1400.674743	2626.544015	1596.351869	3.557006068	64.28656206	120.5501032	73.26752626	0	0	3.66253E-05	0	0	0	4.15317E-05	0
GRMZM2G004382	x	GRMZM2G004382	4425.466667	1398.389792	550.5496493	539.3379342	150.6754912	47.61149155	18.74476639	18.363037	0.000954614	0.000569532	0.000226904	4.15216E-05	0.001642094	0.001009418	0.000413657	6.49407E-05
GRMZM2G004459	x	GRMZM2G004459	520.375	187.3278701	138.8550961	218.1518792	14.109594	5.079260517	3.7649561	5.915031362	3.00703E-05	0	0	0	7.16538E-05	0	0	0
GRMZM2G004534	x	GRMZM2G004534	1236.75	1199.313468	2931.939118	3673.392357	37.91794273	36.77016324	89.89132775	112.6237971	5.49538E-05	5.68482E-05	0.00014121	0.000131989	0.000118816	0.000134409	0.000336546	0.000273031
GRMZM2G004583	x	GRMZM2G004583	676	1447.516231	1040.075943	1076.023387	35.21329007	75.40208421	54.17824834	56.05077462	4.64723E-05	0.000276057	0.000164824	0	3.58269E-05	0.000214343	0.000130318	0
GRMZM2G004703	x	GRMZM2G004703	3796.433333	1215.669906	525.0565686	897.5113722	244.0072759	78.13446893	33.74683861	57.68553951	0.000453727	0.00028559	1.05307E-05	3.86303E-05	0.000279513	0.00018565	6.65897E-06	2.28062E-05
GRMZM2G004847	x	GRMZM2G004847	276	258.1994224	169.6059616	136.1607244	23.97382343	22.42763538	14.73225861	11.82714915	0.000192188	0	0	0	3.8956E-05	0	0	0
GRMZM2G004880	x	GRMZM2G004880	40.58333333	414.1473037	2003.359525	1609.123077	1.126619375	11.4969949	55.61454594	44.67028916	0	0	0	0.000141551	0	0	0	0.000194822
GRMZM2G005036	x	GRMZM2G005036	700.8861111	349.9614988	283.1021708	332.2075373	22.80122835	11.38494817	9.209880378	10.80737626	0.000186259	9.20552E-06	0	0	0.000306539	1.50711E-05	0	0
GRMZM2G005080	x	GRMZM2G005080	2022.833333	500.9754281	304.6818889	415.1133773	109.5224583	27.12436044	16.49642061	22.47552322	8.40823E-05	7.05094E-05	0	0	6.8173E-05	6.25156E-05	0	0
GRMZM2G005260	x	GRMZM2G005260	397.602381	2377.684275	3216.485114	2159.785284	14.42360119	86.25393452	116.6826476	78.34933358	0	1.17516E-05	3.16664E-05	0	0	1.56289E-05	4.22471E-05	0
GRMZM2G005308	x	GRMZM2G005308	495	175.9411994	85.06391305	184.7895545	14.47244942	5.144040625	2.487036726	5.402742387	5.67995E-05	0	0	0	7.16538E-05	0	0	0
GRMZM2G005310	x	GRMZM2G005310	1042.333333	38.27292324	17.65641549	11.05200685	21.15068204	0.776621455	0.358278123	0.224263655	3.58751E-05	0	0	0	0.000109077	0	0	0
GRMZM2G005346	x	GRMZM2G005346	263.5	244.4897186	103.8510349	125.1087175	11.22408523	10.41432046	4.423654148	5.32914956	3.39155E-05	0.00012996	0	0	3.8956E-05	0.000150711	0	0
GRMZM2G005493	x	GRMZM2G005493	1078.267857	608.9284651	461.5319912	495.1141183	34.84721724	19.6792127	14.91568673	16.00098633	4.97038E-06	0	4.73603E-06	0	9.73899E-06	0	1.03829E-05	0
GRMZM2G005516	x	GRMZM2G005516	674.1492063	99.61931432	24.40275665	18.83472481	33.56461307	4.959857118	1.214967068	0.937745301	6.17747E-06	0	0	0	5.8434E-06	0	0	0
