Protein	A_1	A_2	A_3	B_1	B_2	B_3	xbar(A)	s(A)	xbar(B)	s(B)	STN	pValue
AT4G28520.1	0.0	0.0128007402838	0.0	0.0	0.0	0.0	0.004266913428	0.000619559868	0.000018495912	0.000039727332	-6.443955704092	0.000256246677
AT5G44120.3	0.0	0.00741826033313	0.0	0.0	0.0	0.0	0.002472753444	0.000404913664	0.000018495912	0.000039727332	-5.519638429400	0.000417862839
AT1G03880.1	0.0	0.00723318938927	0.0	0.0	0.0	0.0	0.002411063130	0.000397793890	0.000018495912	0.000039727332	-5.468459803532	0.000552897395
AT5G53460.1	0.0010593220339	0.000616903146206	0.000377548452051	0.00340236686391	0.00401085289607	0.00405060481634	0.000684591211	0.000194998607	0.003821274859	0.000564609105	4.129346762470	0.000644338118
AT3G12580.1	0.000242130750605	9.25354719309e-05	0.000119557009816	0.00101331360947	0.00109118792025	0.00170347353235	0.000151407744	0.000106682212	0.001269325021	0.000266406532	2.996384363840	0.000805954280
AT4G12060.1	0.000756658595642	0.000462677359655	0.000943871130128	0.0	0.0	0.0	0.000721069028	0.000199740864	0.000018495912	0.000039727332	-2.933889042294	0.000848484848
AT5G09590.1	0.0	0.0	0.0	0.000473372781065	0.000926035153946	0.00071579181001	0.000020974914	0.000042953678	0.000705066582	0.000197668163	2.843015687378	0.000852737905
AT5G60600.1	0.000378329297821	0.000925354719309	0.000943871130128	0.00273668639053	0.00194644331721	0.00249694817445	0.000749185049	0.000203355436	0.002393359294	0.000395752702	2.744369741922	0.000895268474
AT2G34430.1	0.00295853510896	0.00429518815546	0.00547445255474	0.00240384615385	0.00197003656954	0.000976584174897	0.004242725273	0.000616545633	0.001783488966	0.000325772539	-2.609772770670	0.000972886762
AT4G16390.1	0.0	0.0	0.0	0.000443786982249	0.000825763831544	0.000499389634891	0.000020974914	0.000042953678	0.000589646816	0.000182321332	2.524345257770	0.001044125465
AT5G56500.1	0.0	0.000316162862431	0.00029574628744	0.000621301775148	0.00195823994338	0.000754633226057	0.000203969717	0.000119321944	0.001111391648	0.000247788698	2.471794136860	0.001102604997
AT1G70070.1	0.0	0.0	0.0	0.000221893491124	0.00076678070072	0.000721340583731	0.000020974914	0.000042953678	0.000570004925	0.000179626870	2.466657648708	0.001113237640
AT4G22240.1	0.000453995157385	0.000185070943862	0.0	0.00139792899408	0.00122684912115	0.000760181999778	0.000213022034	0.000121286147	0.001128320038	0.000249799274	2.466542612756	0.001113237640
sum117	0.00785411622276	0.00465761875386	0.00583941605839	0.00368343195266	0.00165152766309	0.00342914215958	0.006117050345	0.000861834246	0.002921367258	0.000457091776	-2.422943390063	0.001291866029
AT5G13650.1	0.000453995157385	0.000385564466379	0.00088094638812	0.00207100591716	0.00171051079391	0.00160914437909	0.000573502004	0.000180108652	0.001796887030	0.000327308039	2.411006669423	0.001293992557
AT3G09440.1	0.000976089588378	0.00166563849476	0.00101938082054	0.00330621301775	0.00330895363926	0.00222505826212	0.001220369635	0.000260666294	0.002946741640	0.000460067482	2.395297767765	0.001299308878
AT3G26060.1	0.00128631961259	0.00123380629241	0.0014472690662	0.000369822485207	0.000235932523298	0.000388414160471	0.001322464990	0.000272611635	0.000331389723	0.000143625378	-2.381035888997	0.001339712919
sum35	0.00381355932203	0.00395589142505	0.00317140699723	0.00511834319527	0.00616373717117	0.010997669515	0.003646952581	0.000543438438	0.007426583294	0.001048352850	2.374451187008	0.001340776183
