"Protein","UVR_1","UVR_2","UVR_3","ClpS_1","ClpS_2","ClpS_3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"ATCG00420.1",0,0,0,0,0,0,0.143,0.1559,0.24265,0.183214,0.990416
"sum42",0,0,0,0,0,0,0.069,0.0828,0.756678,0.855361,0.993631
"AT5G64050.1",0,0,0,0,0,0,0.072,0.0825,0.756749,0.853613,0.993746
"AT1G31180.1",0,0,0,0,0,0,0.075,0.0822,0.75693,0.851905,0.993863
"AT2G22230.1",0,0,0,0,0,0,0.073,0.0817,0.757464,0.848883,0.99408
"AT1G32550.1",0,0,0,0,0,0,0.076,0.0843,0.75805,0.865338,0.993046
"AT5G57870.1",0,0,0,0,0,0,0.071,0.0811,0.758472,0.845497,0.994344
"AT2G37500.1",0,0,0,0,0,0,0.076,0.0846,0.758689,0.867657,0.992925
"AT5G50250.1",0,0,0,0,0,0,0.071,0.0805,0.759856,0.842554,0.994593
"sum1",0,0,0,0,0,0,0.068,0.0802,0.760681,0.840919,0.99474
"AT5G04140.1",0,0,0,0,0,0,0.072,0.0799,0.761591,0.839566,0.994868
"AT3G26740.1",0,0,0,0,0,0,0.071,0.0799,0.761591,0.839566,0.994868
"AT5G28500.1",0,0,0,0,0,0,0.069,0.0799,0.761591,0.839566,0.994868
"AT2G25605.1",0,0,0,0,0,0,0.078,0.0857,0.762139,0.875568,0.992545
"AT4G34740.1",0,0,0,0,0,0,0.07,0.0797,0.762242,0.838689,0.994954
"AT2G15620.1",0,0,0,0,0,0,0.076,0.0862,0.764301,0.879492,0.992373
"AT5G13120.1",0,0,0,0,0,0,0.076,0.0862,0.764301,0.879492,0.992373
"AT4G33500.1",0,0,0,0,0,0,0.069,0.0791,0.764402,0.835976,0.995236
"ATCG00190.1",0,0,0,0,0,0,0.074,0.0865,0.765781,0.881664,0.992282
"AT5G08610.1",0,0,0,0,0,0,0.074,0.0784,0.767282,0.833107,0.995567
"AT4G21860.1",0,0,0,0,0,0,0.073,0.0777,0.770509,0.830516,0.995905
"AT1G73230.1",0,0,0,0,0,0,0.069,0.0777,0.770509,0.830516,0.995905
"AT5G05730.1",0,0,0,0,0,0,0.067,0.0771,0.773518,0.828491,0.996201
"ATCG00280.1",0,0,0,0,0,0,0.078,0.0878,0.773822,0.89203,0.991887
"AT1G75460.1",0,0,0,0,0,0,0.08,0.0879,0.774551,0.89278,0.99186
"AT1G76080.1",0,0,0,0,0,0,0.081,0.088,0.775296,0.893532,0.991834
"AT4G00490.1",0,0,0,0,0,0,0.067,0.0767,0.775636,0.827345,0.996385
"AT5G10160.1",0,0,0,0,0,0,0.067,0.0766,0.776178,0.82707,0.996431
"AT1G48470.1",0,0,0,0,0,0,0.067,0.0765,0.776725,0.8268,0.996477
"AT5G09660.1",0,0,0,0,0,0,0.066,0.0762,0.778395,0.825892,0.99664
"AT2G43560.1",0,0,0,0,0,0,0.069,0.0757,0.781264,0.824691,0.996874
"AT5G20980.1",0,0,0,0,0,0,0.08,0.089,0.783633,0.901452,0.991573
"AT2G24090.1",0,0,0,0,0,0,0.067,0.075,0.78544,0.8231,0.997227
"AT4G28440.1",0,0,0,0,0,0,-0.086,-0.1006,0.78808,0.989149,1
"AT4G14890.1",0,0,0,0,0,0,-0.083,-0.0993,0.788429,0.989366,1
"ATCG00160.1",0,0,0,0,0,0,0.065,0.0745,0.788518,0.822089,0.997487
"AT5G14320.1",0,0,0,0,0,0,-0.084,-0.0981,0.791107,0.98958,1
"AT1G02475.1",0,0,0,0,0,0,-0.087,-0.0975,0.793223,0.989682,1
"AT5G13030.1",0,0,0,0,0,0,-0.083,-0.0965,0.797804,0.989874,1
"AT3G44620.1",0,0,0,0,0,0,0.062,0.0726,0.800728,0.819447,0.998445
"AT5G35790.1",0,0,0,0,0,0,-0.086,-0.0959,0.801137,0.98998,0.992145
"AT5G58250.1",0,0,0,0,0,0,-0.083,-0.0957,0.802338,0.990025,0.988812
"AT3G48110.1",0,0,0,0,0,0,0.066,0.0716,0.807352,0.818634,0.998977
"AT4G01310.1",0,0,0,0,0,0,0.063,0.0715,0.808018,0.818581,0.999025
"ATCG00480.1",0,0,0,0,0,0,0.064,0.0714,0.808685,0.818531,0.999074
"sum49",0,0,0,0,0,0,-0.081,-0.0944,0.811147,0.990268,0.97259
"AT5G04260.1",0,0,0,0,0,0,0.06,0.0706,0.814035,0.818242,0.999486
"AT5G65840.1",0,0,0,0,0,0,-0.094,-0.1054,0.81411,0.988519,1
"AT3G17390.1",0,0,0,0,0,0,-0.086,-0.094,0.814172,0.990349,0.967812
"AT5G48220.1",0,0,0,0,0,0,0.06,0.0699,0.818729,0.818174,0.99985
"AT1G08550.1",0,0,0,0,0,0,0.06,0.0698,0.8194,0.818178,0.999899
"AT4G09040.1",0,0,0,0,0,0,-0.077,-0.0928,0.823988,0.990575,0.956053
"AT1G32070.1",0,0,0,0,0,0,-0.093,-0.1063,0.824542,0.988434,1
"AT3G62030.1",0,0,0,0,0,0,0.06,0.0689,0.825438,0.818355,1
"AT2G47450.1",0,0,0,0,0,0,0.061,0.0688,0.826108,0.818389,1
"AT4G33680.1",0,0,0,0,0,0,0.058,0.0686,0.82745,0.818463,1
"AT5G03290.1",0,0,0,0,0,0,0.061,0.0682,0.830133,0.818669,1
"AT3G27740.1",0,0,0,0,0,0,-0.076,-0.0921,0.830139,0.990709,0.94999
"AT1G13930.1",0,0,0,0,0,0,-0.079,-0.0916,0.834682,0.990807,0.945982
"AT5G01530.1",0,0,0,0,0,0,-0.08,-0.0916,0.834682,0.990807,0.945982
"AT1G15060.1",0,0,0,0,0,0,0.06,0.0673,0.83617,0.819272,1
"AT2G21330.1",0,0,0,0,0,0,-0.095,-0.1074,0.840035,0.988346,1
"AT3G49140.1",0,0,0,0,0,0,-0.082,-0.091,0.840264,0.990913,0.942008
"AT3G44310.1",0,0,0,0,0,0,0.061,0.0664,0.842219,0.82009,1
"AT2G22250.1",0,0,0,0,0,0,0.057,0.0663,0.842892,0.820188,1
"AT5G40950.1",0,0,0,0,0,0,-0.081,-0.0903,0.846906,0.991043,0.937588
"AT1G06680.1",0,0,0,0,0,0,0.057,0.0656,0.847619,0.820991,1
"AT4G20260.1",0,0,0,0,0,0,0.059,0.0654,0.848974,0.821226,1
"AT5G59750.1",0,0,0,0,0,0,0.057,0.0653,0.849653,0.821407,1
"AT2G01755.1",0,0,0,0,0,0,0.06,0.0653,0.849653,0.821407,1
"AT4G26530.1",0,0,0,0,0,0,0.056,0.065,0.851692,0.821783,1
"AT4G25130.1",0,0,0,0,0,0,0.06,0.0649,0.852374,0.821913,1
"AT5G35170.1",0,0,0,0,0,0,0.056,0.0643,0.856481,0.822803,1
"AT1G53120.1",0,0,0,0,0,0,0.055,0.0641,0.857859,0.823093,1
"AT5G42390.1",0,0,0,0,0,0,0.056,0.0641,0.857859,0.823093,1
"AT1G01090.1",0,0,0,0,0,0,-0.079,-0.0888,0.861328,0.991312,0.930008
"AT1G66200.1",0,0,0,0,0,0,0.055,0.0629,0.866223,0.825163,1
"AT5G22800.1",0,0,0,0,0,0,0.053,0.0628,0.866929,0.825335,1
"AT3G46780.1",0,0,0,0,0,0,0.054,0.0627,0.867636,0.825508,1
"AT3G55250.1",0,0,0,0,0,0,-0.077,-0.0879,0.869908,0.991466,0.926565
"sum14",0,0,0,0,0,0,0.057,0.0623,0.870483,0.826221,1
"AT4G04640.1",0,0,0,0,0,0,0.053,0.0618,0.874078,0.827247,1
"AT3G26900.1",0,0,0,0,0,0,0.056,0.0616,0.875529,0.827632,1
"AT4G20360.1",0,0,0,0,0,0,0.054,0.0613,0.877719,0.828324,1
"AT1G50170.1",0,0,0,0,0,0,0.051,0.061,0.879927,0.828933,1
"AT5G14590.1",0,0,0,0,0,0,-0.074,-0.0866,0.881905,0.991684,0.922723
"AT1G76450.1",0,0,0,0,0,0,0.055,0.0603,0.885148,0.830521,1
"AT4G09000.1",0,0,0,0,0,0,0.054,0.0602,0.885902,0.83074,1
"AT2G41680.1",0,0,0,0,0,0,0.053,0.0598,0.88894,0.831631,1
"AT5G45030.1",0,0,0,0,0,0,0.051,0.0598,0.88894,0.831631,1
"sum3",0,0,0,0,0,0,0.051,0.0597,0.889704,0.831972,1
"AT1G17745.1",0,0,0,0,0,0,0.054,0.0593,0.892784,0.832898,1
"AT2G43030.1",0,0,0,0,0,0,0.052,0.0592,0.89356,0.833134,1
"AT5G13850.1",0,0,0,0,0,0,0.056,0.0589,0.895898,0.833971,1
"AT4G29840.1",0,0,0,0,0,0,-0.074,-0.0848,0.897181,0.99196,0.919472
"AT5G13650.1",0,0,0,0,0,0,-0.072,-0.0846,0.898754,0.991995,0.919185
"AT2G13440.1",0,0,0,0,0,0,0.053,0.0584,0.899838,0.835199,1
