"Protein","wt_1","wt_2","wt_3","ClpS_1","ClpS_2","ClpS_3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"sum34",209,192,190,278,231,414,0.448,9.0791,0,0,0.949748
"sum44",672,723,718,420,459,591,-0.359,-10.3999,0,0.949748,0
"AT4G38970.1",422,470,442,277,277,380,-0.354,-8.6089,0,0.950731,0
"sum68",487,456,428,565,525,708,0.267,7.2577,1e-06,0,0.951124
"AT5G20250.4",12,8,3,56,31,27,1.629,7.1537,1e-06,0,0.951312
"AT4G05180.1",268,369,289,279,157,191,-0.391,-7.5339,1e-06,0.951701,0
"AT3G09260.1",81,104,101,42,52,65,-0.584,-6.0924,0.000284,0.953127,5.1e-05
"AT3G58610.1",122,157,154,86,80,114,-0.439,-5.6466,0.00085,0.955035,0.000222
"sum57",191,224,193,127,107,187,-0.37,-5.5886,0.001002,0.95538,0.000264
"AT2G43750.1",136,139,146,91,85,96,-0.435,-5.4489,0.001518,0.95631,4e-04
"sum67",645,789,752,728,428,669,-0.183,-5.4246,0.001636,0.956492,0.000431
"AT5G13650.1",58,51,60,28,26,30,-0.705,-5.209,0.003235,0.958145,0.000803
"AT5G60600.1",97,84,76,55,48,49,-0.521,-5.1334,0.004131,0.95878,0.001001
"AT3G55800.1",123,128,125,80,84,84,-0.423,-5.1266,0.004223,0.95883,0.001018
"AT1G06680.1",281,208,229,243,138,163,-0.275,-4.7706,0.013432,0.961967,0.002791
"AT2G37220.1",45,62,55,33,22,33,-0.609,-4.7227,0.01568,0.962396,0.003184
"AT5G54770.1",29,146,88,32,63,69,-0.47,-4.6879,0.017537,0.962718,0.003514
"AT2G38040.1",54,30,15,23,15,6,-0.817,-4.6408,0.020386,0.963149,0.004006
"sum27",15,28,21,33,53,46,0.725,5.0645,0.020391,0.002043,0.952736
"AT2G04030.1",158,118,110,105,77,85,-0.372,-4.5721,0.02532,0.963777,0.004844
"AT1G62750.1",161,140,146,123,86,112,-0.33,-4.4359,0.038252,0.965018,0.007013
"AT5G15450.1",61,52,54,39,27,29,-0.569,-4.3503,0.048656,0.965798,0.008798
"AT5G04360.1",28,12,17,9,2,8,-1.121,-4.1402,0.080098,0.967832,0.015192
"ATCG00380.1",23,16,9,28,39,34,0.768,4.3404,0.097095,0.019286,0.954003
"sum42",55,25,6,20,11,8,-0.785,-3.9246,0.116222,0.970263,0.025638
"AT1G09340.1",125,144,93,106,77,88,-0.29,-3.8379,0.131539,0.971396,0.031189
"AT3G52380.1",31,31,29,22,12,14,-0.638,-3.664,0.16615,0.974012,0.045052
"AT4G24770.1",63,82,57,58,30,46,-0.412,-3.6587,0.16733,0.974109,0.045595
"AT2G42600.1",15,17,8,22,19,43,0.724,3.973,0.168134,0.047519,0.95528
"AT1G29900.1",166,146,121,124,72,131,-0.28,-3.6063,0.179523,0.975014,0.050709
"AT5G23440.1",9,13,10,4,2,2,-1.424,-3.5989,0.181327,0.975117,0.051303
"AT3G16420.1",6,13,10,2,0,0,-2.066,-3.5937,0.182607,0.975221,0.051901
"AT1G54520.1",0,0,0,10,5,13,2.344,3.893,0.18943,0.056666,0.955643
"AT1G66430.1",33,38,37,26,17,19,-0.558,-3.5016,0.207208,0.976916,0.061992
"AT2G43710.1",25,22,17,10,12,7,-0.757,-3.5002,0.207612,0.976916,0.061993
"sum63",32,44,61,22,29,36,-0.464,-3.4509,0.222468,0.977866,0.067931
"AT1G32900.1",2,14,12,0,2,3,-1.609,-3.3665,0.25092,0.979568,0.079149
"AT5G51070.1",30,7,7,8,4,6,-0.886,-3.3594,0.253497,0.97973,0.08026
"AT5G52920.1",42,57,37,30,22,35,-0.451,-3.3556,0.254888,0.979811,0.08082
"AT3G54660.1",22,34,21,11,14,16,-0.64,-3.3304,0.264324,0.980343,0.084535
"AT5G26000.1",31,29,20,21,9,13,-0.632,-3.3226,0.26732,0.980507,0.085704
"sum54",9,18,0,31,19,11,0.797,3.6331,0.278254,0.095508,0.957009
"AT3G53580.1",19,19,12,6,8,8,-0.83,-3.2489,0.297398,0.982051,0.097124
"AT2G39730.1",676,710,653,998,554,702,0.102,3.5614,0.308601,0.108955,0.957426
"AT5G65620.1",57,45,36,37,28,23,-0.45,-3.2131,0.313152,0.982813,0.103089
"AT4G13430.1",20,30,27,14,13,16,-0.597,-3.1463,0.34446,0.984265,0.115126
"AT4G14880.1",9,15,8,7,3,1,-1.074,-3.1195,0.357675,0.984866,0.120385
"AT1G32470.1",8,17,11,5,6,2,-0.959,-3.1013,0.366845,0.985252,0.123863
"AT4G01310.1",30,38,20,46,56,37,0.466,3.4376,0.367265,0.13585,0.958191
"AT2G40490.1",68,70,56,48,45,45,-0.339,-3.0773,0.379165,0.985768,0.128618
"AT4G01800.1",50,34,9,52,34,61,0.463,3.4105,0.381151,0.142442,0.958366
"AT1G69830.1",67,62,37,45,34,37,-0.371,-3.0606,0.387879,0.986154,0.132273
"ATCG00470.1",10,11,11,7,2,3,-1.027,-3.0371,0.40032,0.986669,0.13727
"AT4G35630.1",16,13,17,11,5,4,-0.792,-2.9858,0.428096,0.987781,0.148576
"AT2G28190.1",22,24,42,14,17,21,-0.527,-2.9233,0.462734,0.989141,0.163409
"AT2G43100.1",2,9,6,1,0,1,-1.894,-2.8982,0.476776,0.989648,0.169236
"AT1G20340.1",40,67,69,49,38,40,-0.33,-2.8825,0.485571,0.989985,0.173199
"AT5G16715.1",31,23,32,16,13,22,-0.523,-2.8791,0.487475,0.990069,0.174199
"AT3G58990.1",3,7,8,0,1,2,-1.475,-2.8749,0.489828,0.990153,0.175204
"AT4G21280.1",105,82,63,90,56,42,-0.278,-2.859,0.498729,0.990488,0.179262
"AT4G21210.1",22,17,15,11,9,7,-0.697,-2.8572,0.499736,0.99053,0.179774
"AT2G04400.1",17,20,17,9,10,9,-0.661,-2.8294,0.515253,0.991113,0.187042
"AT5G24490.1",9,12,8,26,13,20,0.719,3.1591,0.524273,0.213886,0.959987
"AT1G16080.1",35,31,40,25,17,27,-0.43,-2.7823,0.541294,0.992107,0.199945
"AT4G20850.1",29,28,8,53,23,30,0.49,3.0889,0.566413,0.237019,0.960424
"AT1G78380.1",5,7,7,13,16,15,0.846,3.082,0.570521,0.23976,0.960473
"AT3G63490.1",42,57,33,64,61,58,0.335,3.0477,0.590752,0.251621,0.960682
"AT5G21930.1",2,7,6,0,1,1,-1.746,-2.6792,0.596347,0.994265,0.230356
"AT3G24190.1",82,85,62,55,57,61,-0.28,-2.6779,0.597018,0.994265,0.230357
"AT5G17990.1",12,17,15,11,7,5,-0.671,-2.6676,0.602318,0.994506,0.233957
"AT3G55330.1",6,13,16,6,4,6,-0.805,-2.6593,0.606559,0.994667,0.236375
"AT3G15950.1",45,49,56,13,32,62,-0.342,-2.648,0.61229,0.994867,0.239418
"AT4G25130.1",5,7,5,11,15,14,0.878,2.9624,0.638749,0.283853,0.961213
"AT1G20020.1",31,48,28,67,36,51,0.375,2.9369,0.652156,0.293765,0.961367
"AT5G17710.1",33,27,38,17,24,24,-0.415,-2.5599,0.655164,0.996651,0.267693
"AT4G13550.1",3,3,1,7,3,14,1.306,2.8865,0.676943,0.313257,0.961661
"AT2G35500.1",17,14,12,12,4,6,-0.683,-2.5005,0.682209,0.997823,0.287368
"AT3G27160.1",11,11,3,8,1,0,-0.921,-2.4984,0.683138,0.997901,0.2887
"AT4G26555.1",11,19,10,10,3,7,-0.71,-2.4933,0.685386,0.997978,0.290036
"AT1G80380.2",37,40,50,33,28,28,-0.35,-2.4651,0.697623,0.99852,0.299451
"AT4G02520.1",4,2,2,12,9,3,1.185,2.8113,0.708868,0.343777,0.962104
"AT2G05990.1",69,69,83,58,45,72,-0.234,-2.4053,0.722522,0.999707,0.320687
"AT1G64510.1",22,18,22,16,10,12,-0.497,-2.3948,0.726753,0.999897,0.324158
"AT4G38460.1",10,7,7,5,1,4,-0.898,-2.3829,0.731499,1,0.328339
"AT2G30870.1",0,6,1,7,8,8,1.097,2.7147,0.739584,0.384074,0.962681
"AT2G43945.1",23,12,14,31,24,22,0.479,2.6999,0.743226,0.390687,0.962777
"AT1G04410.1",15,20,11,11,11,4,-0.565,-2.3422,0.747352,1,0.343089
"AT2G47390.1",85,60,53,67,26,58,-0.268,-2.3418,0.747505,1,0.34309
"AT1G17220.1",36,27,14,28,40,46,0.387,2.6746,0.748814,0.40142,0.962936
"AT4G33030.1",5,6,2,1,0,1,-1.568,-2.321,0.755385,1,0.350884
