Name,STN,pVal
AT3G19170.1,-4.322,0
AT2G39800.1,2.3558,5.00E-04
AT1G29150.1,1.7393,0.0031
AT5G08540.1,-1.7393,0.0031
AT5G46290.1,1.7194,0.0033
AT3G47470.1,-1.5992,0.0048
AT5G01530.1,-1.5953,0.0048
AT5G15450.1,1.532,0.0059
AT5G26000.1,1.5046,0.0064
AT2G22125.1,-1.465,0.0073
AT5G41670.1,1.454,0.0075
AT4G39800.1,1.4344,0.0078
AT3G46970.1,1.4308,0.0082
AT5G62790.1,1.4265,0.0082
AT1G69740.1,1.4232,0.0083
AT5G14780.1,1.4118,0.0084
AT1G65260.1,-1.4089,0.0085
sum137,1.4022,0.0086
AT5G33320.1,-1.4019,0.0088
AT3G22890.1,1.399,0.0088
AT1G57720.1,1.3927,0.0089
sum106,1.3872,0.009
AT4G20850.1,1.368,0.0092
AT1G03160.1,1.3617,0.0093
ATCG01130.1,-1.3617,0.0096
AT1G32080.1,-1.3583,0.0097
AT1G69830.1,1.3495,0.0101
sum118,1.3404,0.0102
sum118,1.3404,0.0102
AT2G44350.1,1.3404,0.0102
AT5G52640.1,1.3402,0.0103
AT5G46580.1,1.289,0.0116
AT1G12310.1,-1.289,0.0123
ATCG00540.1,-1.2832,0.0124
AT5G63420.1,1.2761,0.0126
AT5G13420.1,1.2751,0.0127
AT5G38430.1,-1.2716,0.0129
AT3G48000.1,1.2697,0.0129
AT1G62180.1,1.2695,0.0129
ATCG00270.1,-1.27,0.0129
AT5G09590.1,1.2583,0.0132
AT4G11420.1,-1.2558,0.0135
sum201,-1.2457,0.0137
sum140,1.2377,0.0138
AT5G46110.1,-1.2364,0.0141
AT3G05590.1,1.2276,0.0143
AT2G33150.1,1.2234,0.0144
sum86,1.2127,0.0149
AT5G47770.1,1.2127,0.0149
AT4G17830.1,1.2127,0.0149
AT3G54400.1,1.2127,0.0149
AT5G48880.1,1.1755,0.0167
AT3G44310.1,-1.1709,0.0169
AT5G67030.1,1.1577,0.0175
AT5G16970.1,1.1542,0.0178
AT5G43940.1,1.1481,0.018
