Name,STN,pVal
AT5G65620.1,3.005,2.00E-04
AT1G03160.1,1.9331,0.0023
AT5G20920.1,-1.7696,0.0034
sum110,1.6221,0.0051
AT4G20850.1,1.5956,0.0054
AT5G40450.1,1.5869,0.0055
AT1G74040.1,1.5785,0.0056
AT4G27090.1,-1.5722,0.0056
AT1G22530.1,1.5692,0.0056
AT1G78570.1,1.428,0.0081
AT3G48690.1,-1.4213,0.0084
AT2G39800.1,1.4089,0.0085
AT1G08380.1,-1.3626,0.0096
sum86,1.3445,0.01
AT1G12310.1,-1.3445,0.011
AT1G52510.1,-1.3363,0.0113
AT1G64790.1,1.3152,0.0118
AT1G69830.1,1.3032,0.0122
sum202,-1.2506,0.0137
AT2G32730.1,1.242,0.014
AT3G27925.1,-1.2244,0.0145
AT1G20340.1,1.2092,0.015
AT2G25970.1,1.1986,0.0153
AT5G06600.1,1.1986,0.0153
AT3G43540.1,-1.1986,0.0154
AT1G36160.1,1.1794,0.016
sum76,1.1789,0.016
sum113,1.1789,0.016
AT3G16370.1,-1.1789,0.0171
AT2G46280.1,-1.1789,0.0171
AT1G26220.1,-1.1789,0.0171
AT3G18080.1,-1.1789,0.0171
AT2G27680.1,-1.1738,0.0172
AT1G52360.1,1.1567,0.018
AT5G26570.1,1.1527,0.018
AT5G15450.1,1.1491,0.0181
AT4G36810.1,-1.1486,0.0182
AT1G16470.1,-1.1347,0.0185
sum137,1.1216,0.0191
AT5G16970.1,-1.1216,0.0194
AT1G14610.1,1.1195,0.0194
AT5G12470.1,-1.1082,0.0199
AT5G36210.1,1.1023,0.0203
AT5G10860.1,-1.1023,0.0203
AT1G79210.1,1.0982,0.0206
AT5G04360.1,1.0891,0.021
sum73,1.0891,0.021
AT3G08943.1,1.0891,0.021
AT2G32720.1,1.0891,0.021
AT4G37870.1,1.0891,0.021
AT1G76180.1,-1.0891,0.0225
AT3G54890.1,-1.0874,0.0226
AT1G62020.1,1.0852,0.0227
AT5G53480.1,1.0834,0.0227
sum81,1.0821,0.0228
AT3G57410.1,1.0735,0.0232
AT3G05900.1,1.0716,0.0233
AT4G28750.1,1.0682,0.0235
AT2G45740.1,1.0654,0.0236
sum120,1.0625,0.0237
AT5G67560.1,-1.0622,0.0239
sum24,1.0527,0.0242
AT1G08520.1,1.0519,0.0242
AT5G41670.1,1.0495,0.0244
