Name,STN,pVal
AT3G19170.1,4.3881,0
ATCG01130.1,2.0839,9.00E-04
sum53,-1.9376,0.0014
sum74,-1.6787,0.0031
sum110,1.6605,0.0032
ATCG00420.1,1.5821,0.0038
AT1G36160.1,1.5798,0.0039
AT1G02930.1,-1.5782,0.0039
sum120,1.4601,0.0059
AT5G19370.1,-1.4601,0.0059
AT5G16970.1,-1.4571,0.006
AT1G53580.1,-1.4291,0.0068
AT3G57260.1,-1.4291,0.0068
AT5G52640.1,-1.4223,0.0069
sum24,1.3974,0.0072
AT5G35790.1,1.36,0.0078
AT5G08540.1,1.36,0.0078
sum72,1.36,0.0078
AT5G42130.1,-1.36,0.0081
AT2G38550.1,-1.36,0.0081
AT1G62020.1,1.3529,0.0082
AT4G01050.1,1.3389,0.0085
AT3G25760.1,-1.317,0.009
AT4G34490.1,1.2877,0.0095
AT3G48690.1,-1.2877,0.0108
AT1G64790.1,1.2769,0.0109
AT1G03630.1,-1.2563,0.0115
AT3G59760.1,-1.2141,0.0126
AT2G31390.1,-1.2118,0.0131
AT3G16370.1,-1.2118,0.0131
AT5G20080.1,-1.2007,0.0136
AT5G10450.1,-1.1883,0.0139
AT1G16470.1,-1.1723,0.0143
AT2G27020.1,-1.1713,0.0144
AT1G32080.1,1.1506,0.0151
AT3G52990.1,1.1493,0.0151
AT4G28750.1,1.1394,0.0155
AT1G20340.1,1.1387,0.0155
AT2G20420.1,-1.1394,0.0156
sum79,1.1367,0.0156
AT5G20920.1,-1.1367,0.0157
sum141,-1.1235,0.0175
AT4G17560.1,-1.1194,0.0176
AT4G21280.1,1.1158,0.0178
AT1G24510.1,1.1071,0.0181
AT3G60240.2,1.0929,0.0191
AT4G16660.1,-1.0934,0.0191
AT2G20360.1,-1.0929,0.0192
AT1G09310.1,-1.0907,0.0193
AT3G19710.1,-1.0816,0.0196
AT2G01210.1,-1.0816,0.0196
AT1G30630.1,-1.0772,0.0197
AT1G07140.1,-1.0732,0.0198
ATCG00190.1,1.0643,0.0201
AT5G19550.1,-1.0523,0.0213
AT5G35590.1,-1.0494,0.0214
AT5G41790.1,1.0474,0.0215
AT4G37870.1,1.0474,0.0215
AT2G35780.1,-1.0474,0.0227
AT2G45990.1,-1.0474,0.0227
AT5G19820.1,-1.0444,0.0229
AT4G11420.1,1.0352,0.0235
sum90,1.0334,0.0237
AT1G02080.1,1.0334,0.0237
AT1G78300.1,-1.0342,0.0238
AT1G56500.1,-1.0311,0.024
AT4G12800.1,1.0211,0.0245
AT3G19480.1,1.0211,0.0245
AT1G20960.1,1.0155,0.0247
AT1G04410.1,-1.0116,0.0248
sum118,-1.0082,0.0249
sum118,-1.0082,0.0249
AT5G17310.2,1.0057,0.0251
AT3G29320.1,-0.9975,0.0255
AT2G22170.1,0.992,0.0259
AT1G62180.1,0.9884,0.0261
AT1G10370.1,-0.9876,0.0264
AT5G17530.1,0.9839,0.0266
AT3G27890.1,-0.9826,0.0268
AT3G15980.1,-0.9821,0.0268
AT2G40100.1,0.9789,0.0269
AT1G18500.1,-0.9751,0.0271
AT5G10860.1,-0.9745,0.0272
AT4G09670.1,-0.9717,0.0275
AT3G55010.1,0.969,0.0278
AT3G07720.1,-0.9709,0.0278
AT1G12240.1,-0.969,0.028
AT3G11630.1,-0.9673,0.0281
