Name,STN,pVal
AT3G19170.1,4.4934,0
AT5G65620.1,2.8779,1.00E-04
AT5G40450.1,2.4467,4.00E-04
AT1G64790.1,2.1796,8.00E-04
AT5G16970.1,-2.1689,8.00E-04
ATCG01130.1,2.0908,0.001
sum110,2.045,0.0012
AT1G36160.1,1.9775,0.0015
AT3G48690.1,-1.8994,0.0019
AT2G22125.1,1.8748,0.0022
sum120,1.8478,0.0023
AT3G43300.2,1.7222,0.0032
AT4G28080.1,1.6876,0.0035
AT1G20960.1,1.6671,0.0039
sum81,1.623,0.0045
AT3G05590.1,-1.57,0.0051
ATCG00170.1,1.5616,0.0052
sum74,-1.5616,0.0054
AT5G48880.1,-1.5616,0.0054
AT1G33590.1,-1.5453,0.0056
AT4G21280.1,1.5408,0.0057
AT1G01320.1,1.5002,0.0065
AT2G35780.1,-1.4977,0.0068
AT1G18500.1,-1.4399,0.0078
AT5G13420.1,-1.4118,0.0085
AT4G27090.1,-1.397,0.0088
AT2G21390.1,1.3919,0.0089
AT1G32080.1,1.3803,0.0091
AT1G20340.1,1.365,0.0093
AT5G08540.1,1.3617,0.0093
AT1G68560.1,1.3617,0.0093
sum72,1.3617,0.0093
AT1G57770.1,-1.3617,0.0096
AT1G70310.1,-1.3599,0.0097
AT4G13200.1,1.3557,0.0097
AT1G29150.1,-1.3557,0.0099
AT1G02500.1,-1.3437,0.0102
AT5G20920.1,-1.3404,0.0103
AT5G52640.1,-1.3402,0.0103
AT1G03630.1,-1.3372,0.0103
AT5G67560.1,-1.3316,0.0104
AT1G69740.1,-1.3168,0.0108
AT1G16720.1,-1.31,0.011
AT4G11420.1,1.303,0.0111
AT1G59870.1,1.2918,0.0116
AT5G55710.1,1.289,0.0116
AT2G36250.1,-1.2904,0.0116
AT2G33150.1,-1.289,0.0123
AT4G28750.1,1.2793,0.0125
AT1G65260.1,1.2765,0.0126
AT1G53280.1,-1.2761,0.0127
AT4G17560.1,-1.2678,0.013
AT5G10860.1,-1.2631,0.0131
AT4G12800.1,1.2573,0.0133
AT3G57610.1,-1.2558,0.0135
ATCG00270.1,1.2446,0.0137
AT5G65430.1,1.2372,0.014
AT2G32240.1,1.229,0.0142
AT1G30360.1,1.2217,0.0145
AT2G46280.1,-1.2127,0.0153
AT4G17830.1,-1.2127,0.0153
AT3G01910.1,-1.2093,0.0156
AT1G18070.1,-1.2093,0.0156
AT3G63140.1,-1.1793,0.0166
AT1G02080.1,1.1755,0.0167
AT2G19860.1,-1.1731,0.0169
AT2G40100.1,1.1548,0.0176
AT2G20360.1,-1.1546,0.0177
AT2G44640.1,-1.1546,0.0177
AT4G27500.1,1.1397,0.0183
AT3G50590.1,1.1324,0.0185
AT2G31390.1,-1.1324,0.0196
AT5G64860.1,-1.1324,0.0196
sum85,-1.1324,0.0196
AT2G30520.1,-1.1324,0.0196
AT4G33030.1,-1.1324,0.0196
AT3G14990.1,-1.1324,0.0196
AT4G25100.1,-1.1324,0.0196
sum95,-1.129,0.0197
AT3G57410.1,1.1283,0.0198
AT5G46110.1,1.1248,0.0199
AT5G30510.1,-1.1243,0.0199
AT5G09810.1,-1.1101,0.0209
AT5G07440.1,-1.1075,0.021
AT3G20000.1,-1.1008,0.0214
AT3G08030.1,-1.1008,0.0214
AT1G52410.1,-1.1,0.0215
AT1G09310.1,-1.0997,0.0216
AT3G60240.2,1.0979,0.0217
AT5G43330.1,-1.0906,0.0221
AT5G43940.1,-1.0842,0.0223
AT2G39800.1,-1.0828,0.0223
AT5G01530.1,1.0732,0.0228
AT1G22530.1,1.07,0.023
AT4G10480.1,1.07,0.023
AT5G13630.1,1.069,0.023
AT4G22485.1,1.0669,0.0232
AT1G14850.1,1.0669,0.0232
AT3G55400.1,-1.0669,0.0235
AT1G66430.1,-1.0605,0.0239
AT5G06600.1,1.0524,0.0243
AT1G76810.1,1.0476,0.0245
AT2G36060.1,1.0476,0.0245
AT1G79500.1,1.0476,0.0245
AT5G41790.1,1.0476,0.0245
AT4G37870.1,1.0476,0.0245
AT1G26220.1,-1.0476,0.0258
AT5G50250.1,-1.0476,0.0258
AT2G37790.1,-1.0476,0.0258
AT2G40660.1,-1.0476,0.0258
AT3G16520.3,-1.0476,0.0258
AT3G63520.1,-1.0455,0.026
AT2G02560.1,1.0439,0.0261
AT4G36530.1,-1.0439,0.0263
AT5G40810.1,-1.0408,0.0264
AT5G12860.1,1.0393,0.0265
AT1G62380.1,-1.0372,0.0268
AT3G49910.1,-1.0327,0.027
AT3G49120.1,-1.0275,0.0273
AT1G62750.1,1.0286,0.0273
ATCG00340.1,1.0282,0.0273
AT5G53460.1,1.0192,0.0279
AT5G26000.1,-1.0167,0.028
AT2G25450.1,-1.0133,0.0281
sum125,1.0107,0.0283
AT1G61520.1,1.0066,0.0285
ATCG00420.1,1.0058,0.0285
sum24,1.0046,0.0286
AT2G01210.1,-0.9931,0.0293
AT3G03710.1,-0.9931,0.0293
AT4G19170.1,-0.9931,0.0293
AT2G27680.1,-0.9921,0.0294
AT1G74920.1,-0.9909,0.0294
AT3G55360.1,0.9906,0.0296
AT5G35590.1,-0.9906,0.0296
AT4G33670.1,-0.9906,0.0296
AT3G43540.1,-0.9906,0.0296
AT2G20230.1,-0.9906,0.0296
AT1G74910.1,-0.9906,0.0296
AT3G54400.1,-0.9906,0.0296
AT5G24300.1,-0.9884,0.0299
AT5G46290.1,-0.9832,0.0301
AT1G01960.1,0.9859,0.0301
AT5G17990.1,0.9787,0.0304
AT1G19670.1,-0.9787,0.0304
AT1G52510.1,-0.9763,0.0306
AT3G55010.1,0.9728,0.0313
AT5G23820.1,-0.9728,0.0314
sum208,-0.972,0.0314
AT3G52140.1,0.9609,0.0321
AT5G63890.1,0.9607,0.0321
AT1G78370.1,0.9587,0.0323
AT5G51200.1,0.9576,0.0323
AT5G42130.1,-0.9576,0.0343
AT1G75270.1,-0.9576,0.0343
AT2G30695.1,-0.9576,0.0343
AT4G35860.1,-0.9576,0.0343
AT5G44720.1,-0.9576,0.0343
AT3G16950.1,-0.9576,0.0343
sum62,-0.9576,0.0343
AT5G11670.1,-0.9574,0.0343
AT1G03475.1,-0.9555,0.0344
AT3G55610.1,0.9531,0.0345
AT1G47128.1,-0.9528,0.0345
