"","Comp.1","Comp.2"
"rep1-wt",-0.293667289701577,0.102403603201505
"rep1-prep",-0.23305323702042,0.364482090009743
"rep1-oop",-0.275377040580658,-0.0466493302852799
"rep1-triple",-0.282186089765245,0.110880048611388
"rep2-wt",-0.274516908239807,0.0503568216126712
"rep2-prep",-0.217484564030964,0.514781384177871
"rep2-oop",-0.280236008018856,-0.0847079605665719
"rep2-triple",-0.238094053555618,0.278768050578789
"rep3-wt",-0.354936997260899,-0.350899248999077
"rep3-prep",-0.31597178260786,-0.155411228175754
"rep3-oop",-0.376024903942551,-0.528594435761729
"rep3-triple",-0.280875369325128,0.251153349613369
