"","Comp.1","Comp.2"
"rep1-wt",-0.293395112082821,-0.0861468078229037
"rep1-prep",-0.237577809226328,-0.372576918449329
"rep1-oop",-0.276242522308353,0.0310310943472513
"rep1-triple",-0.282704585408605,-0.100288872186655
"rep2-wt",-0.275446267090049,-0.0563617680460478
"rep2-prep",-0.222931235638775,-0.512361782739892
"rep2-oop",-0.280988888691402,0.0670123761475507
"rep2-triple",-0.241608413801772,-0.27844102818918
"rep3-wt",-0.350608223317999,0.361986417676662
"rep3-prep",-0.314631337744693,0.159362766827633
"rep3-oop",-0.369777968107029,0.536429879615124
"rep3-triple",-0.282296236806485,-0.225489238805233
