"Protein","rep1-oop","rep2-oop","rep3-oop","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT5G17920.1",146,282,409,286,358,485,0.301,6.2354,0,0,0.982407
"sum81",85,105,94,156,177,107,0.434,5.8065,1e-06,0,0.982828
"AT4G21280.1",83,177,68,124,180,184,0.396,5.5718,4e-06,1e-06,0.983117
"AT5G65620.1",0,0,0,12,17,19,2.917,5.0679,8.5e-05,1.4e-05,0.983719
"ATCG00120.1",259,370,383,379,337,535,0.215,5.0318,0.000105,1.7e-05,0.983771
"AT3G47470.1",127,153,161,108,100,98,-0.372,-4.8935,0.000198,0.982399,0.000153
"AT3G01500.1",148,187,244,172,283,298,0.262,4.4957,0.001707,0.000264,0.984478
"AT2G42600.1",61,93,61,123,123,65,0.371,4.3449,0.002416,0.00052,0.984833
"AT4G20850.1",8,10,11,34,36,5,0.952,4.1808,0.003491,0.000992,0.985437
"AT1G22530.1",4,11,1,19,31,0,1.123,4.0288,0.005332,0.001705,0.986277
"AT5G40450.1",12,0,4,25,25,0,1.124,4.0206,0.005481,0.001751,0.986328
"AT3G03780.1",71,84,105,118,106,133,0.325,3.9479,0.007168,0.002239,0.986811
"AT1G20340.1",35,32,18,47,54,47,0.559,3.9279,0.007781,0.002399,0.986952
"AT1G31330.1",85,180,184,138,191,243,0.242,3.9229,0.007947,0.002436,0.986984
"AT4G28750.1",25,31,39,46,56,53,0.486,3.8756,0.009804,0.002864,0.987318
"AT3G60750.1",184,265,409,295,295,433,0.175,3.822,0.012709,0.003441,0.987689
"AT1G61520.1",76,134,98,81,166,164,0.286,3.8197,0.012857,0.003468,0.987705
"AT1G64790.1",20,11,5,16,51,9,0.767,3.7947,0.014609,0.003784,0.987875
"AT3G54890.1",43,45,61,21,32,38,-0.491,-3.714,0.01894,0.983268,0.015258
"sum9",97,154,183,147,158,240,0.23,3.7336,0.020171,0.0047,0.98828
"AT4G27090.1",3,16,21,0,6,5,-1.191,-3.6353,0.021448,0.983589,0.016498
"AT1G08380.1",25,21,15,10,5,11,-0.861,-3.5938,0.023423,0.98379,0.017314
"AT1G52510.1",24,20,11,7,6,10,-0.871,-3.5028,0.029701,0.984287,0.019625
"AT4G04640.1",45,106,78,46,47,69,-0.35,-3.4809,0.031683,0.984422,0.020345
"AT5G01530.1",79,196,181,70,95,194,-0.238,-3.4425,0.035678,0.98466,0.021722
"sum51",27,137,103,35,62,95,-0.33,-3.3964,0.041449,0.984952,0.023614
"AT5G26000.1",78,94,205,126,128,221,0.228,3.5277,0.05294,0.00993,0.989499
"AT1G67090.1",270,403,387,231,358,319,-0.154,-3.3199,0.053771,0.985471,0.027602
"sum41",55,92,114,100,122,122,0.274,3.453,0.065959,0.012952,0.989943
"AT4G03280.1",27,78,30,27,23,37,-0.438,-3.2299,0.073474,0.986098,0.033685
"AT2G27680.1",25,17,16,8,11,9,-0.729,-3.1747,0.088696,0.986495,0.038379
"AT1G03160.1",0,0,1,4,17,0,2.129,3.29,0.090005,0.022265,0.991123
"sum200",109,182,209,194,217,200,0.202,3.2872,0.090421,0.022424,0.991143
"sum202",17,17,17,0,8,14,-0.79,-3.1567,0.094193,0.986626,0.040083
"AT2G39730.1",390,427,414,476,428,479,0.117,3.2572,0.094998,0.024647,0.991413
"AT5G20920.1",10,7,5,0,0,2,-1.821,-3.1535,0.095197,0.986651,0.040412
"AT1G78570.1",0,4,4,3,12,15,1.279,3.2187,0.101278,0.027676,0.991777
"sum110",4,0,0,4,21,0,1.536,3.217,0.101568,0.027769,0.991789
"AT5G38430.1",100,132,132,78,98,108,-0.247,-3.1039,0.111791,0.987007,0.045488
"AT1G62750.1",60,80,91,92,109,101,0.276,3.1547,0.112994,0.033256,0.99244
"AT5G26570.1",13,9,2,22,28,1,0.78,3.112,0.12179,0.037489,0.992935
"AT1G78370.1",21,34,31,26,58,48,0.43,3.0973,0.125003,0.039025,0.993113
"AT1G69830.1",0,6,5,8,24,1,1.021,3.0921,0.126161,0.039506,0.993169
"sum24",14,24,21,24,41,35,0.511,3.0618,0.133144,0.042872,0.993555
"AT1G36160.1",12,5,9,13,37,5,0.735,3.0252,0.14209,0.047129,0.994038
"AT2G04030.1",55,45,77,86,75,78,0.297,3.0195,0.143533,0.047821,0.994116
"AT3G27925.1",10,14,9,3,4,5,-1.042,-3.0152,0.145792,0.987676,0.056682
"AT4G32260.1",29,38,36,54,50,47,0.378,3.0104,0.145864,0.048943,0.994242
"AT1G04410.1",50,46,41,22,33,37,-0.4,-3.0111,0.147479,0.987702,0.057158
"AT1G79210.1",2,4,3,4,10,12,1.036,2.9128,0.173079,0.062422,0.995726
"AT3G45140.1",113,116,126,167,146,126,0.207,2.9125,0.173169,0.062422,0.995726
"ATCG00680.1",309,426,432,419,537,350,0.111,2.8674,0.187307,0.06944,0.99648
"AT3G43300.2",19,14,8,23,37,10,0.543,2.8458,0.194506,0.072965,0.996853
"AT5G60600.1",17,14,26,24,34,34,0.47,2.8036,0.20952,0.080201,0.997609
"AT5G53480.1",4,4,9,19,14,5,0.814,2.8008,0.210565,0.080606,0.997651
"sum119",111,184,172,141,158,255,0.17,2.7975,0.211806,0.081217,0.997714
"AT1G50250.1",20,0,13,20,14,26,0.563,2.7886,0.215197,0.082863,0.997883
"AT1G29900.1",18,23,13,39,38,13,0.508,2.7862,0.216124,0.083278,0.997926
"AT4G34670.1",21,24,15,9,10,15,-0.571,-2.8422,0.223747,0.989054,0.085998
"sum201",20,44,36,0,21,41,-0.466,-2.8418,0.223943,0.989064,0.086227
"AT5G15450.1",7,8,1,16,21,1,0.88,2.7646,0.224701,0.087301,0.998335
"AT4G33010.1",96,120,113,147,141,113,0.202,2.7643,0.224823,0.087517,0.998357
"AT3G26650.1",197,276,190,171,284,312,0.145,2.7461,0.232408,0.091023,0.998708
"AT1G08520.1",7,6,9,13,24,8,0.734,2.7407,0.234724,0.09214,0.998819
"AT4G36810.1",8,13,12,4,4,5,-0.957,-2.8175,0.235998,0.989267,0.091174
"AT5G12470.1",7,17,13,4,6,6,-0.86,-2.8122,0.23867,0.989316,0.092385
"AT3G46970.1",43,25,38,61,61,29,0.356,2.7278,0.240385,0.094634,0.999066
"AT1G74040.1",0,0,0,4,0,10,1.805,2.7072,0.249818,0.098826,0.999474
"AT1G52360.1",4,1,0,12,8,0,1.172,2.6738,0.266217,0.106133,1
"AT5G53460.1",28,22,8,34,54,4,0.466,2.6702,0.268072,0.106886,1
"AT5G66190.1",55,84,84,34,48,84,-0.293,-2.7481,0.272396,0.989889,0.107136
"AT1G35720.1",14,27,18,6,17,9,-0.618,-2.7355,0.279374,0.990003,0.110188
"sum33",31,35,17,45,57,17,0.376,2.6377,0.285629,0.114127,1
"AT1G29880.1",8,7,16,13,17,25,0.593,2.6377,0.285629,0.114127,1
"AT4G38970.1",144,189,175,148,120,161,-0.172,-2.7037,0.297587,0.990296,0.118269
"AT3G05900.1",4,7,0,10,18,0,0.92,2.6161,0.298154,0.11954,1
"AT4G05180.1",49,91,62,64,129,67,0.256,2.6052,0.304748,0.122044,1
"AT1G03630.1",18,14,9,5,6,9,-0.72,-2.6875,0.307228,0.990444,0.122481
"AT2G39800.1",0,1,0,0,9,5,1.607,2.595,0.311089,0.124591,1
"sum120",4,0,3,0,21,0,1.088,2.5885,0.315219,0.126314,1
"AT3G44310.1",60,96,58,46,60,58,-0.271,-2.6688,0.318692,0.990626,0.127754
"AT3G04840.1",27,25,21,10,14,21,-0.502,-2.6687,0.318755,0.990626,0.127754
"AT4G14040.1",11,7,6,18,17,10,0.654,2.5615,0.333126,0.133408,1
"AT5G36210.1",1,1,3,7,5,6,1.35,2.5409,0.347634,0.138948,1
"AT1G70730.1",25,27,39,35,42,51,0.346,2.5407,0.347778,0.138948,1
"ATCG00420.1",5,9,3,11,16,9,0.765,2.5339,0.352735,0.140838,1
"AT3G55330.1",1,9,3,7,10,12,0.835,2.5245,0.359723,0.143392,1
"AT1G71220.1",4,7,4,23,7,2,0.779,2.5049,0.374816,0.149288,1
"AT3G22890.1",7,7,7,11,12,19,0.695,2.5011,0.377824,0.150291,1
"AT5G26742.1",14,13,24,19,32,31,0.466,2.4957,0.382146,0.151976,1
"AT1G14610.1",2,5,0,12,9,1,1.029,2.4905,0.386359,0.153334,1
"AT1G20960.1",7,9,3,7,30,1,0.708,2.4864,0.389717,0.154705,1
"AT3G55610.1",2,1,2,9,3,5,1.221,2.4832,0.39236,0.15574,1
"AT2G45740.1",0,4,4,1,12,9,0.992,2.4814,0.393855,0.156085,1
"AT2G32730.1",0,3,0,3,13,0,1.289,2.4813,0.393938,0.156433,1
"ATCG00540.1",38,63,111,32,42,88,-0.264,-2.5546,0.398216,0.991722,0.162529
"AT1G18500.1",11,14,7,4,5,5,-0.792,-2.5177,0.428147,0.992086,0.175536
"ATCG00770.1",21,27,19,12,21,8,-0.496,-2.511,0.433836,0.992152,0.177989
"AT5G66570.1",38,61,50,56,67,71,0.26,2.4334,0.436008,0.171628,1
"AT5G33320.1",7,11,9,2,5,4,-0.913,-2.5039,0.439954,0.992217,0.180471
"AT1G23740.1",34,42,35,13,32,33,-0.355,-2.4958,0.447045,0.992294,0.183402
"sum60",23,18,8,34,35,6,0.442,2.4127,0.455548,0.178529,1
"AT1G68560.1",1,1,1,8,5,0,1.657,2.3871,0.480837,0.187702,1
"AT5G04140.1",176,242,190,254,259,177,0.128,2.3809,0.487145,0.18975,1
"AT4G25370.1",11,17,9,6,6,7,-0.686,-2.4343,0.504863,0.992882,0.207825
"AT5G10860.1",7,6,5,2,0,3,-1.14,-2.4294,0.509772,0.992924,0.209702
"AT2G15620.1",17,36,28,30,39,45,0.349,2.3534,0.515961,0.199856,1
"AT4G26970.1",8,9,5,20,18,2,0.6,2.3449,0.525136,0.203329,1
"AT4G02450.1",7,12,6,2,4,4,-0.956,-2.4142,0.525272,0.993058,0.215898
"AT5G21430.1",13,10,11,5,4,8,-0.711,-2.4109,0.528691,0.993088,0.217349
"AT2G25970.1",0,1,1,7,6,0,1.741,2.3379,0.532783,0.205967,1
"AT4G37910.1",11,17,16,23,25,22,0.44,2.3322,0.539069,0.208188,1
"AT3G48000.1",1,4,6,8,8,9,0.839,2.3217,0.550786,0.212237,1
"AT3G63460.1",9,14,4,24,22,2,0.585,2.3198,0.552924,0.213147,1
"AT1G62020.1",1,1,0,1,11,0,1.415,2.3193,0.553488,0.213603,1
"ATCG00470.1",56,63,85,53,63,41,-0.26,-2.3821,0.559306,0.993348,0.230267
"AT1G33590.1",6,7,10,1,3,5,-0.969,-2.3794,0.562244,0.993368,0.231287
"AT2G26080.1",23,40,20,54,43,20,0.331,2.2967,0.579348,0.222424,1
"AT2G33040.1",14,35,20,10,12,22,-0.458,-2.3597,0.583998,0.993532,0.240104
"AT5G23120.1",33,42,18,20,25,19,-0.385,-2.3578,0.586124,0.993551,0.241158
"sum86",0,0,0,9,1,2,1.474,2.2861,0.59172,0.227191,1
"ATCG01130.1",6,4,3,0,26,0,0.785,2.2859,0.591954,0.227191,1
"AT5G13630.1",26,58,19,53,76,10,0.298,2.2844,0.593717,0.227672,1
"AT5G06600.1",2,0,0,6,7,0,1.325,2.2835,0.594776,0.228155,1
"AT3G48690.1",6,5,2,0,0,0,-1.588,-2.347,0.598293,0.993644,0.24649
"AT2G20580.1",3,12,9,11,26,5,0.576,2.2769,0.60257,0.231066,1
"AT3G63140.1",19,21,25,10,15,16,-0.451,-2.3385,0.607966,0.993709,0.25028
"AT4G28080.1",35,31,18,43,53,21,0.323,2.2591,0.623834,0.238983,1
"AT3G57410.1",1,2,0,4,9,0,1.39,2.2499,0.634946,0.243025,1
"AT1G29670.1",20,27,17,8,10,22,-0.47,-2.3107,0.64007,0.993931,0.264197
"sum35",18,28,35,33,43,37,0.335,2.2337,0.654681,0.250233,1
"AT3G16000.1",3,8,14,8,13,22,0.559,2.2206,0.670762,0.256549,1
"sum214",63,56,51,82,63,68,0.225,2.2171,0.675073,0.258148,1
"AT1G31230.1",4,3,1,11,9,0,0.876,2.2098,0.684079,0.261368,1
"AT1G12310.1",2,10,0,1,0,0,-1.614,-2.2665,0.691922,0.99425,0.287115
"AT2G30110.1",18,16,8,30,25,8,0.444,2.2002,0.695945,0.26626,1
"ATCG00170.1",2,2,2,3,10,3,1.039,2.1734,0.729094,0.279084,1
"AT3G18080.1",0,10,0,0,1,0,-1.53,-2.2341,0.729812,0.994458,0.304472
"AT3G63490.1",21,57,45,24,37,62,-0.003,-0.0199,0.730758,0.993685,0.969519
"AT1G49510.1",0,1,0,0,0,0,-0.017,-0.0192,0.730758,0.993685,0.969519
"AT4G35360.1",2,3,0,1,4,1,-0.012,-0.0206,0.73076,0.99336,0.969862
"AT5G65840.1",0,0,0,0,1,0,-0.018,-0.0206,0.73076,0.99336,0.969862
"AT4G20760.1",0,0,0,0,0,0,-0.016,-0.0186,0.73076,0.994011,0.969176
"AT2G20860.1",0,1,0,0,0,0,-0.018,-0.0206,0.73076,0.99336,0.969862
"AT2G19520.1",0,0,0,0,0,0,-0.018,-0.0206,0.73076,0.99336,0.969862
"AT2G25840.1",1,0,0,0,0,0,-0.016,-0.0185,0.730761,0.994011,0.969176
"sum144",0,0,0,0,0,0,-0.016,-0.0184,0.730761,0.994011,0.969176
"AT2G25870.1",1,0,0,1,0,0,-0.017,-0.0184,0.730761,0.994011,0.969176
"AT4G38225.1",1,0,0,0,0,0,-0.018,-0.0209,0.730761,0.99336,0.969862
"AT3G01340.1",0,3,0,0,3,0,-0.012,-0.0183,0.730762,0.994011,0.969176
"AT5G37680.1",0,0,0,0,0,0,-0.017,-0.0183,0.730762,0.994011,0.969176
"AT3G54840.1",0,0,1,0,0,0,-0.016,-0.018,0.730763,0.994011,0.969176
"AT5G52640.1",0,0,0,0,0,0,-0.02,-0.0214,0.730765,0.993035,0.970207
"AT1G60000.1",1,0,0,1,1,0,-0.016,-0.0178,0.730765,0.994337,0.968834
"AT2G39080.1",0,0,1,0,0,1,-0.016,-0.0175,0.730768,0.994337,0.968834
"AT1G18590.1",1,0,0,1,1,0,-0.02,-0.0217,0.730768,0.993035,0.970207
"AT5G46860.1",1,0,0,1,0,0,-0.02,-0.0217,0.730768,0.993035,0.970207
"AT1G65540.1",0,0,0,0,1,0,-0.015,-0.0175,0.730768,0.994337,0.968834
"AT5G24020.1",0,0,0,0,1,1,-0.015,-0.0174,0.730769,0.994337,0.968834
"AT1G51160.1",0,0,0,0,1,0,-0.02,-0.022,0.730771,0.993035,0.970207
"AT3G01680.1",0,0,2,0,2,0,-0.016,-0.0222,0.730772,0.993035,0.970207
"AT3G53970.1",0,0,0,0,0,0,-0.019,-0.0222,0.730772,0.993035,0.970207
"AT4G23180.1",0,0,0,1,0,0,-0.015,-0.017,0.730773,0.994337,0.968834
"AT1G59960.1",2,3,0,2,0,3,-0.01,-0.0166,0.730778,0.994665,0.968494
"AT2G33470.1",0,2,0,0,2,0,-0.013,-0.0166,0.730778,0.994665,0.968494
"AT1G72170.1",1,3,1,2,2,1,-0.015,-0.0227,0.730779,0.992712,0.970552
"AT2G24180.1",0,1,0,1,0,0,-0.021,-0.0228,0.730781,0.992712,0.970552
"sum38",0,0,0,0,0,0,-0.014,-0.0163,0.730783,0.994665,0.968494
"AT5G55480.1",2,10,1,4,8,0,-0.009,-0.0231,0.730785,0.992712,0.970552
"AT4G39120.1",2,0,1,0,2,1,-0.017,-0.0235,0.730791,0.992712,0.970552
"AT3G23920.1",0,0,0,0,1,0,-0.014,-0.0155,0.730796,0.994993,0.968154
"AT5G43850.1",0,1,0,0,0,0,-0.014,-0.0153,0.7308,0.994993,0.968154
"AT5G64580.1",0,0,0,0,0,0,-0.014,-0.0153,0.7308,0.994993,0.968154
"AT5G64440.1",0,0,0,0,0,0,-0.013,-0.0152,0.730802,0.994993,0.968154
"AT3G24170.1",0,1,0,0,1,0,-0.023,-0.0241,0.730803,0.992389,0.970898
"AT2G23350.1",11,9,11,13,9,9,-0.004,-0.0151,0.730804,0.994993,0.968154
"ATCG00570.1",0,0,0,0,0,0,-0.022,-0.0242,0.730805,0.992389,0.970898
"AT2G47940.1",7,2,4,5,2,6,-0.01,-0.0243,0.730807,0.992389,0.970898
"AT2G21280.1",2,4,0,4,2,0,-0.013,-0.0243,0.730807,0.992389,0.970898
"AT5G41970.1",0,0,0,0,0,0,-0.013,-0.0148,0.73081,0.994993,0.968154
"AT5G43280.1",0,0,0,0,0,0,-0.021,-0.0245,0.730811,0.992389,0.970898
"AT2G47400.1",1,0,0,0,0,0,-0.013,-0.0146,0.730814,0.994993,0.968154
"AT3G12800.1",1,2,0,0,2,1,-0.011,-0.0144,0.730819,0.995323,0.967815
"AT4G39520.1",0,2,1,0,2,0,-0.018,-0.0249,0.73082,0.992068,0.971245
"AT5G11980.1",0,0,0,0,0,1,-0.022,-0.0249,0.73082,0.992068,0.971245
"AT2G24820.1",0,1,0,0,0,0,-0.013,-0.0143,0.730821,0.995323,0.967815
"AT3G25860.1",8,13,9,11,9,9,-0.007,-0.025,0.730823,0.992068,0.971245
"AT4G34180.1",0,1,0,0,1,0,-0.022,-0.0252,0.730828,0.992068,0.971245
