Protein	Length	0	0	0	1	1	1
ATCG00490.1	1	962	1192	1909	1497	1712	2329
ATCG00480.1	1	287.4	440.8	544.6	560.3	456.6	571.5
AT2G39730.1	1	426	454	406	476	428	479
ATCG00680.1	1	264	511	301	419	537	350
ATCG00120.1	1	196.8	291.3	429.3	379.5	337.5	535.6
AT5G17920.1	1	253.9	472	402.9	286	358.3	485.6
AT3G60750.1	1	234	429	383	295	295	433
sum57	1	235.9	299.2	315	254.4	402.4	339.8
AT1G67090.1	1	230.4	260.2	291.3	231.5	358.1	319.5
sum32	1	202.4	239.4	257.7	220.3	331.2	276.7
AT3G26650.1	1	164.8	330.5	286.3	171.4	284.6	312.9
AT3G12780.1	1	184.3	208.7	266.4	158.1	252.3	339.2
AT4G10340.1	1	172	218	246	171	339	283
AT3G01500.1	1	165.4	308.7	297.1	172.4	283.9	298.4
AT5G04140.1	1	230.9	313.7	202	254	259	177
ATCG00280.1	1	211	241	186	264	219	212
sum127	1	175.1	346	195	123	201	204
sum200	1	149	274.1	231	194	217	200
sum119	1	91	181	278	141	158	255
AT1G56070.1	1	164	232	222	204	193	159
AT1G06680.1	1	133	183	207	163	228	216
ATCG00270.1	1	163	157	201	178	200	256
AT5G26000.1	1	125.4	179.9	174.9	126.3	128.6	221
AT4G38970.1	1	164.8	174.4	135.5	148.1	120.1	161
sum9	1	111.2	152.8	208.1	147.4	158.2	240.5
AT5G14740.2	1	129.6	231.4	203.9	111.6	136.1	211.6
AT4G20360.1	1	133	139	174	147	141	179
AT1G31330.1	1	77	147	207	138	191	243
AT3G45140.1	1	168	200	204	167	146	126
AT2G28000.1	1	97	122.8	153.4	105	120.5	168.6
ATCG00340.1	1	94	116	146	179	175	133
AT4G33010.1	1	128	176	144.5	147.3	141.5	113.9
AT1G42970.1	1	111.3	154	120.1	105.8	131.1	171.4
AT1G15820.1	1	115	107	107	101	133	163
AT5G35630.1	1	99	110	110.7	135	110.5	147.7
sum41	1	114.4	164.4	142	100.8	122.9	122
AT4G21280.1	1	89.7	156.7	51.4	124.4	180.1	184.4
AT1G61520.1	1	85	126	132	81	166	164
AT5G01530.1	1	61.7	87.2	125.4	70	95.8	194.2
sum81	1	98	150	101	156	177	107
AT1G12900.1	1	107	125.6	79.5	104.8	87.4	97.8
AT3G47470.1	1	109	77	58	108	100	98
AT3G03780.1	1	70.1	145	117.2	118	106.7	133.4
sum206	1	45	78	126	103	98	117
AT3G62030.1	1	74	169	89	78	79	109
sum129	1	72.5	110.8	65.1	86.2	120.4	81.6
AT1G78900.1	1	63	75	112	88	66	123
ATCG00020.1	1	48	93	98	56	107	140
AT5G38430.1	1	72.7	78.8	84.6	78.3	98.4	108.2
AT2G42600.1	1	95.6	128.7	92.3	123.3	123.9	65
AT2G04030.1	1	78.7	128.7	98.6	86.3	75.4	78
AT5G25980.2	1	55.6	45.1	115.1	74.7	61.4	86
sum205	1	52	86	90	61	69	124.1
AT1G62750.1	1	68	82	76	92	109	101
sum12	1	40.8	47.6	116.4	73.6	85.6	97.6
sum203	1	58	101	59	92	129	52.9
sum27	1	44.7	57.3	94.2	70.5	82.2	90.6
AT4G05180.1	1	53.3	103.3	51.6	64.6	129.9	67.6
ATCG00350.1	1	47	61	83	82	111	85
sum51	1	42	78	70	35	62	95
AT1G44575.1	1	70	64	83	66	71	86
AT1G09340.1	1	79	65	86	45	61	80
AT5G54270.1	1	45.5	72.9	73	37.6	99.3	92.6
AT3G11630.1	1	55.7	97.7	113.4	31.6	69	73.6
AT4G04640.1	1	53	76	63	46	47	69
AT2G13360.1	1	57	93	59	59	75	62
AT3G08580.1	1	45	77	76	56	85	69
AT4G09650.1	1	59	100	57	45	67	75
AT3G14210.1	1	72	92	66	42	47	75
AT4G13940.1	1	39.4	62	92.3	60.2	69.3	64.3
AT3G50820.1	1	42.9	63.1	61.4	38.7	79.6	77.4
AT1G32060.1	1	56	74	63	60	48	60
AT1G07890.1	1	48	88	75	46	76	81
AT5G42270.1	1	34.6	51.1	68	60	52.1	86
AT2G21330.1	1	52.1	79.1	60.4	49.9	49.2	57
AT5G09660.1	1	39	49	84.9	57	63	66
sum214	1	53.1	62	57	82.9	63	68.3
AT3G14420.1	1	44.2	62.9	81.8	42.7	63.7	61.3
sum213	1	26.1	48.4	66.5	51	74.5	69.1
AT4G29060.1	1	62	94	69	71	66	42
ATCG00470.1	1	58	62	46	53	63	41
ATCG00130.1	1	49	55	56	71	67	75
AT3G14415.1	1	63.8	67.1	66.2	35.3	51.3	71.7
AT3G58610.1	1	35	40	63	59	48	75
AT5G66190.1	1	30	43.5	77.8	34.5	48	84.2
AT3G08940.2	1	41.3	61.5	56.1	37.9	73.4	65.3
sum221	1	34	70	73	33	57	79
AT1G11860.1	1	46	67	58	51	50	61
ATCG00720.1	1	52	76	37	50	63	47
AT4G35090.1	1	45.6	38.2	71.1	64.8	50.2	46.9
AT3G46970.1	1	60.2	72.6	62	61.5	61.4	29
