"Protein","rep1-prep","rep2-prep","rep3-prep","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"ATCG00490.1",962,1192,1909,1497,1712,2329,0.309,14.8223,0,0,0.981732
"ATCG00120.1",196,291,429,379,337,535,0.312,7.1133,0,0,0.982147
"AT4G21280.1",89,156,51,124,180,184,0.496,6.7388,0,0,0.982475
"AT3G19170.1",0,0,0,91,75,39,4.549,5.9508,5e-06,1e-06,0.982935
"ATCG00480.1",287,440,544,560,456,571,0.221,5.6472,2.7e-05,3e-06,0.98323
"sum127",175,346,195,123,201,204,-0.305,-5.245,0.00073,0.981742,0.000616
"ATCG00680.1",264,511,301,419,537,350,0.19,4.6739,0.001817,0.000368,0.983981
"AT1G31330.1",77,147,207,138,191,243,0.288,4.5819,0.002235,0.000528,0.98423
"sum24",15,12,18,24,41,35,0.773,4.3916,0.004013,0.00104,0.98489
"AT1G36160.1",7,8,2,13,37,5,1.177,4.3876,0.004069,0.001055,0.984906
"ATCG00340.1",94,116,146,179,175,133,0.315,4.3844,0.004115,0.00107,0.984922
"sum53",42,7,0,0,4,5,-1.663,-4.8001,0.004493,0.982155,0.001963
"AT4G28750.1",28,37,24,46,56,53,0.555,4.2042,0.008092,0.001992,0.985694
"AT4G10340.1",172,218,246,171,339,283,0.224,4.0872,0.013004,0.002976,0.986229
"ATCG00350.1",47,61,83,82,111,85,0.378,4.0669,0.014156,0.003189,0.986322
"AT3G11630.1",55,97,113,31,69,73,-0.429,-4.5359,0.01429,0.982466,0.004484
"AT1G20340.1",32,33,20,47,54,47,0.559,3.9279,0.025648,0.005107,0.986946
"AT1G64790.1",12,19,4,16,51,9,0.798,3.9241,0.026069,0.005178,0.986964
"AT4G12800.1",24,31,51,46,55,70,0.477,3.8471,0.035964,0.006736,0.987301
"ATCG00420.1",1,4,3,11,16,9,1.559,3.8364,0.037534,0.006973,0.987345
"AT3G45140.1",168,200,204,167,146,126,-0.266,-4.1768,0.074409,0.982853,0.015333
"sum57",235,299,315,254,402,339,0.16,3.4208,0.101445,0.026002,0.989515
"AT5G01530.1",61,87,125,70,95,194,0.273,3.4009,0.105266,0.02752,0.989662
"sum110",0,3,0,4,21,0,1.746,3.3751,0.110709,0.029597,0.989858
"AT1G32080.1",12,10,22,21,39,25,0.662,3.3314,0.12139,0.033402,0.990206
"AT1G62750.1",68,82,76,92,109,101,0.289,3.3112,0.127025,0.035071,0.990352
"ATCG00270.1",163,157,201,178,200,256,0.198,3.3102,0.127316,0.035261,0.990369
"ATCG01130.1",0,0,0,0,26,0,2.407,3.3046,0.128968,0.035836,0.990418
