"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"ATCG00490.1",1237,1537,1518,1497,1712,2329,0.255,13.5118,0,0,0.969645
"sum57",231,259,243,254,402,339,0.303,6.3023,0,0,0.971252
"sum127",228,285,288,123,201,204,-0.417,-7.3317,0,0.969985,0
"ATCG00270.1",107,138,123,178,200,256,0.542,8.0622,0,0,0.970784
"AT5G26000.1",152,288,306,126,128,221,-0.45,-7.7453,0,0.96966,0
"AT4G21280.1",56,126,66,124,180,184,0.667,8.6998,0,0,0.970372
"sum81",57,95,65,156,177,107,0.709,9.0553,0,0,0.970067
"AT3G19170.1",0,0,0,91,75,39,4.549,5.9508,1e-06,0,0.971881
"sum119",164,296,316,141,158,255,-0.34,-6.4263,2e-06,0.970394,0
"ATCG00340.1",77,108,130,179,175,133,0.436,5.8547,2e-06,0,0.97215
"AT1G61520.1",53,87,129,81,166,164,0.429,5.6759,4e-06,1e-06,0.97273
"AT1G31330.1",35,178,189,138,191,243,0.355,5.6414,5e-06,1e-06,0.972849
"AT4G28080.1",18,19,9,43,53,21,0.912,5.6437,5e-06,1e-06,0.972841
"AT1G64790.1",4,11,1,16,51,9,1.587,5.6147,6e-06,1e-06,0.972945
"AT5G01530.1",39,97,92,70,95,194,0.45,5.3709,2.5e-05,3e-06,0.973771
"AT5G65620.1",0,0,0,12,17,19,2.917,5.0679,0.000108,1.5e-05,0.974847
"AT2G22125.1",1,8,1,15,29,5,1.645,5.0326,0.000127,1.7e-05,0.974993
"AT5G40450.1",4,0,0,25,25,0,2.168,5.0246,0.000131,1.8e-05,0.975027
"AT1G36160.1",1,8,2,13,37,5,1.613,5.0155,0.000137,1.9e-05,0.975063
"AT1G01320.1",8,30,11,34,59,19,0.79,4.7653,0.000429,5.8e-05,0.976158
"AT1G62750.1",50,78,67,92,109,101,0.443,4.7497,0.000461,6.3e-05,0.976238
"AT3G43300.2",4,14,4,23,37,10,1.167,4.7456,0.00047,6.4e-05,0.976258
"AT4G12800.1",19,38,38,46,55,70,0.582,4.582,0.000992,0.00013,0.977033
