Acc	wt-1	wt-2	wt-3	mut-1	mut-2	mut-3
sum13	43.8	48.9	42	51.4	49.2	85.8
sum43	7	0	2	5	5	6
AT2G25140.1	0	0	0	0	1.1	1.1
AT3G55410.1	14	14	5	5	8	12
AT4G26970.1	18.4	18.7	15.2	12.2	13.6	14.6
AT4G01100.1	0	2	0	0	0	1
AT1G17290.1	0	0	1	2	0	2
AT3G48000.1	3	5	1	1	2	4
AT2G17420.1	3	0	0	1	5	0
AT4G35460.1	0	5	2	0	0	2
AT2G21870.1	5	5	0	0	6	6
AT3G52300.1	4	2	5	2	2	5
AT5G47030.1	2	4	0	2	2	1
AT5G13450.1	0	0	0	2	2	3
AT2G33040.1	13	21	14	8	18	13
ATMG01190.1	1.1	0	7.5	9.5	0	0
AT2G44610.1	4.6	3.5	1	2.5	0	1
AT4G32400.1	2	0	0	0	0	1
AT1G47260.1	5	5	2	2	7	9.7
AT5G66510.1	0	0	0	1	0	1.3
AT5G10860.1	1	2	1	2	0	1
AT2G44350.1	0	0	0	1	0	2
AT2G33210.1	13.5	13	8.8	11.2	13.8	15.6
AT3G23990.1	10.5	13	11.3	16.8	23.5	22.6
AT3G13860.1	2	4	0	0	2	1
AT3G61440.1	8	7	3	4	3	9
ATMG00160.1	3	2	2	1	2	2
AT3G27240.1	0	0	0	2	3.3	2
AT5G40810.1	0	0	0	0	1.7	4
AT5G62530.1	2	2	3	1	2	4
AT3G13930.1	4	1	2	0	3	7
AT3G52200.1	3	2	0	0	2	0
AT1G48030.1	18	14	16	15.5	12	17.5
AT3G17240.1	0	2	0	1.5	0	1.5
AT5G27540.1	1	1	3	1	2	1
AT5G14780.1	2	4	5	4	4	11
AT2G29080.1	0	1	0	1	1	1
AT3G22200.2	6	8	0	4	5	8
AT1G32470.1	4	1	4	0	0	4.8
AT2G35370.1	4	2	2	3	5	3.2
AT4G33010.1	137.2	146.7	108.7	154.8	141.9	199.3
AT2G26080.1	53.8	47.3	38.4	43.2	50.1	68.7
AT4G37930.1	39.5	41	40	43	44	55
AT1G74230.1	0	0	0	1	1	1
AT1G29880.1	15	18	13	12	15	13
AT5G09590.1	5.6	1	1.1	7.9	14.4	23.3
AT4G29130.1	0	1	0	1	2	2.4
AT3G07770.1	2.8	6.3	3.9	4.9	11.2	13.8
AT5G03290.1	2	0	0	0	2	1
AT3G02780.1	0	1	0	0	1	3
AT1G53240.1	24.8	22.1	20.4	34.4	31.6	53.6
AT2G13560.1	4	3	0	0	0	0
AT4G00570.1	5	3	4	3	2	2
AT3G10920.1	6	5	1	2	3	3
AT3G08580.1	142	144	104	127	161	167
ATMG00640.1	4	4	0	0	0	4
AT3G02090.1	15	17	21	10	12	16
AT1G51980.1	0	0	0	2	0	0
AT4G37910.1	6.4	12	13.9	16.1	26.6	26.7
AT5G07440.1	2	0	0	0	0	4
ATMG00510.1	9	11	5	5	6	6
ATMG00070.1	1	0	0	0	3	1
AT5G52840.1	1	2	0	0	0	0
AT2G27730.1	0	0	0	0	0	2
AT2G20360.1	1	0	0	0	0	1
AT5G37510.1	15	13	10	15	11	13
AT4G02580.1	1	0	0	2	2	3
AT5G11770.1	0	2	0	1	0	0
AT4G11010.1	2	3	2	2	1	2
AT5G19760.1	20	19	13	17	28	26
AT3G06050.1	3	3	0	0	1	3
AT5G14040.1	20	16	12	15	21	23
AT3G27280.1	0	0	3.4	0	0	0
AT1G03860.1	2	1	0	4	3	7
AT2G30970.1	4	6	2	2	3	7
AT1G24180.1	0	0	0	0	0	2
AT1G59900.1	3	0	3	2	0	2
AT5G50850.1	11	9	6	10	9	13
AT5G66760.1	5	3	3	4	4	6
AT1G79440.1	1	3	3	1	1	6
AT2G20420.1	10	9	4	7	4	9
AT5G26830.1	9	7	2	5	8	15
AT2G40765.1	0	2	0	0	2	1
AT1G14610.1	21	14	5	12	13	14
AT3G01280.1	7.6	5.3	4	7	8.3	9.5
AT5G67500.1	6	6	1	3	11	10
AT5G15090.1	16.4	16.7	12	16	14.7	23.5
sum100	1.4	0.5	0	0	1.4	1.6
sum104	12.9	6.8	12.1	8.4	12.3	17.7
sum21	5.6	5	4	3	3	0
sum55	4.8	4.8	0	0	4.2	3.4
sum58	0	2	0	0	3.4	1.2
sum62	4	0	4	0	0	5
sum67	0	0	0	0	3	6
sum7	2.4	0	6	0	0.7	1.6
sum73	5	3	3	0	3	4
sum74	9	12	7	3	10	6
sum76	3	3	0	0	0	0
sum83	5	4	5	4	3	4
AT1G80660.1	2.6	0	0	0	0	5.2
AT4G18430.1	0.7	0.5	0	0	0.7	0.8
AT1G05010.1	0	1	0	0	1	0
AT1G06650.2	2	2	1	0	1	2
AT2G25450.1	0	0	1	0	0	1
AT3G55360.1	3	4	7	6	0	2
AT1G75660.1	2	1	0	0	2	2
AT4G38800.1	0	0	0	0	0	2
AT5G64840.1	1	0	0	3	2	6
AT5G06530.1	2	2	0	0	0	0
AT1G80410.1	14	12	5	2	14	16
AT5G15070.2	0	2	0	1	3	0
