"Protein","wt-rep1","wt-rep2","wt-rep3","p1xp2-rep1","p1xp2-rep2","p1xp2-rep3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT3G19170.1",76,124,61,0,0,0,-4.595,-7.4186,0,0.973582,0
"ATCG00480.1",943,1025,836,717,814,849,-0.162,-5.7687,1e-06,0.974743,0
"AT1G61520.1",159,302,374,157,244,238,-0.266,-5.2239,1.7e-05,0.976508,4e-06
"AT5G01530.1",241,286,243,207,177,205,-0.268,-5.166,2.4e-05,0.976756,5e-06
"ATCG00340.1",452,415,355,328,314,334,-0.22,-5.0971,3.8e-05,0.977046,7e-06
"sum53",374,513,507,543,484,606,0.162,4.6911,0.000919,0.00078,0.973641
"ATCG00280.1",442,639,675,376,486,644,-0.153,-4.2887,0.003187,0.979275,0.000384
"AT3G60750.1",239,308,240,360,255,346,0.203,4.2915,0.004476,0.002093,0.974709
"AT1G52230.1",61,72,31,41,33,27,-0.495,-3.888,0.007806,0.98179,0.001884
"AT4G21280.1",250,319,324,226,264,240,-0.2,-3.8658,0.008295,0.982001,0.002036
"AT4G10340.1",352,475,578,368,409,447,-0.139,-3.7585,0.011372,0.983128,0.002931
"sum23",117,178,187,78,163,132,-0.256,-3.6964,0.013878,0.983859,0.003607
"ATCG00720.1",135,126,109,118,99,61,-0.286,-3.6788,0.014715,0.984067,0.003816
"AT2G39730.2",325,473,445,472,425,552,0.151,3.9915,0.015114,0.005184,0.975759
"AT1G32900.1",23,3,5,5,0,0,-1.534,-3.5326,0.024685,0.985928,0.006124
"AT5G13630.1",18,37,4,12,1,12,-0.859,-3.4724,0.030928,0.986721,0.007424
"AT5G04140.1",240,445,239,301,332,468,0.174,3.7708,0.035443,0.010401,0.976624
"ATCG00120.1",800,765,665,679,662,669,-0.106,-3.3893,0.042452,0.987809,0.009648
"AT4G03280.1",58,54,65,38,37,46,-0.388,-3.3855,0.043072,0.987857,0.009761
"sum50",148,157,113,103,99,125,-0.243,-3.3407,0.051076,0.988438,0.01123
"AT1G56500.1",68,65,28,44,27,40,-0.381,-3.1365,0.104927,0.991064,0.021228
"AT3G47470.1",229,435,383,237,382,286,-0.144,-3.1284,0.107612,0.991174,0.021794
"ATCG00170.1",10,13,10,19,16,34,0.74,3.4078,0.115122,0.031725,0.978265
"AT3G43540.1",5,5,8,1,0,0,-1.973,-2.9936,0.156255,0.992916,0.03254
"AT3G01500.1",70,97,128,84,146,152,0.259,3.274,0.172333,0.046836,0.978945
"AT5G35630.1",72,112,134,135,98,175,0.25,3.2108,0.208069,0.055978,0.979265
"sum6",416,716,769,448,602,680,-0.095,-2.8544,0.212006,0.994872,0.048373
"AT1G22530.1",3,12,0,0,0,0,-1.858,-2.7031,0.284176,0.997186,0.071762
"AT1G44575.1",158,247,199,187,195,128,-0.165,-2.6934,0.289551,0.997344,0.073564
"ATCG00680.1",796,844,888,755,725,871,-0.073,-2.6615,0.30808,0.997863,0.079673
"ATCG00270.1",521,658,582,485,524,593,-0.093,-2.647,0.316969,0.998104,0.082625
"sum49",152,167,109,127,108,123,-0.177,-2.5913,0.354129,0.999012,0.094492
"AT2G04030.1",36,33,21,57,26,52,0.413,3.013,0.354446,0.096474,0.98025
"AT2G43945.1",0,7,6,0,0,0,-1.712,-2.5846,0.358944,0.999133,0.096173
"AT3G14210.1",44,36,52,39,27,27,-0.348,-2.5723,0.367986,0.999334,0.099029
"AT2G43030.1",21,35,27,14,21,19,-0.428,-2.4733,0.450742,1,0.124455
"AT1G71500.1",32,43,45,27,33,25,-0.339,-2.4604,0.462839,1,0.128334
