Accession,STN,pVal
ATCG00490.1,0.0315,0.7164
AT3G60750.1,-0.5226,0.1522
sum_10,-0.0761,0.6716
AT2G39730.1,-0.0675,0.6833
AT3G45140.1,-0.4066,0.2404
AT1G67090.1,-0.2676,0.3989
AT5G04140.1,-0.343,0.3159
AT3G12780.1,-0.8455,0.0561
AT3G01500.1,-0.0512,0.7012
AT4G38970.1,-0.8367,0.057
sum_7,-1.3613,0.0113
AT5G35630.1,0.1395,0.5798
sum_16,-0.5947,0.1284
AT1G42970.1,0.1264,0.5992
AT3G62030.1,2.0257,0.0018
AT1G62750.1,-0.2318,0.4302
AT2G28000.1,0.6087,0.123
AT3G29320.1,0.3324,0.3219
AT4G20360.1,-0.2504,0.4129
AT2G21330.1,-1.5196,0.0071
AT4G24280.1,-0.8631,0.0534
AT1G32060.1,0,0.7231
AT3G11630.1,-0.1817,0.5279
AT1G10760.1,-0.9277,0.0417
AT3G58610.1,0.2657,0.4016
AT3G55800.1,-1.7866,0.0031
AT1G63770.3,-1.0862,0.025
AT3G54050.1,-1.3881,0.0102
AT2G04030.1,-0.3532,0.2999
AT2G21170.1,-0.1284,0.5976
AT2G43750.1,-0.5024,0.1684
AT1G09340.1,-1.0089,0.0319
AT2G15620.1,-1.2774,0.0143
AT5G49910.1,-0.9388,0.0408
AT4G24620.1,-1.2147,0.0182
AT5G51820.1,-1.5656,0.0064
AT1G29900.1,0.2697,0.3931
AT2G37660.1,0.5989,0.1272
sum_5,-1.6147,0.0054
AT5G45390.1,-0.6444,0.1068
AT3G04790.1,-0.2552,0.4074
AT1G74260.1,-0.5735,0.1337
AT5G60600.1,-0.5268,0.1517
AT5G65620.1,-1.2436,0.0153
AT5G19220.1,-1.4069,0.0099
AT5G26570.1,-0.118,0.6072
AT1G56190.1,-1.1606,0.0209
AT3G48110.1,0,0.7231
AT5G15450.1,0.294,0.353
AT4G29060.1,0.6736,0.1004
AT2G05710.1,-0.57,0.1346
AT5G54770.1,-0.0759,0.6718
AT5G63570.1,-0.6089,0.1228
AT5G04590.1,-0.8479,0.0559
AT3G22960.1,-0.3878,0.2614
AT2G37220.1,-0.0262,0.7177
AT5G53460.1,0.4461,0.2156
AT4G31990.1,-0.7438,0.0753
AT2G36390.1,-1.8758,0.0023
AT5G20720.1,-0.5886,0.1293
AT5G22800.1,-0.3545,0.2997
AT3G52960.1,-0.4156,0.2359
AT5G35970.1,-0.1987,0.5079
AT1G80380.2,-1.1887,0.0193
AT2G40490.1,-1.4128,0.0097
