Protein,wt_rep1,wt_rep2,wt_rep3,cgep_rep1,cgep_rep2,cgep_rep3,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
ATCG00490.1,1187,1150,1435,1178,1235,1433,0.019,0.8245,1,0.863385,0.932844
AT3G60750.1,686,416,380,302,529,391,-0.195,-4.9626,0.038398,0.932862,0.015633
sum_10,440,388,444,447,310,482,-0.028,-0.7461,1,1,0.786082
AT2G39730.1,346,421,388,431,447,250,-0.025,-0.5989,1,1,0.810861
AT3G45140.1,368,272,252,195,221,364,-0.13,-2.6917,0.662986,1,0.311
AT1G67090.1,352,246,194,229,308,189,-0.085,-1.6805,0.925913,1,0.58778
AT5G04140.1,374,249,167,238,253,214,-0.109,-2.1885,0.816406,1,0.452555
AT3G12780.1,251,259,277,222,202,172,-0.269,-4.757,0.0566,0.936188,0.022102
AT3G01500.1,67,187,229,137,226,114,-0.014,-0.2116,1,0.99642,0.865791
AT4G38970.1,185,167,179,72,153,181,-0.262,-4.1872,0.13704,0.948202,0.054474
sum_7,184,229,124,134,117,93,-0.439,-6.6051,0.001239,0.919986,0.00112
AT5G35630.1,101,99,100,95,130,89,0.046,0.5621,1,0.901225,0.925491
sum_16,139,117,57,102,91,64,-0.199,-2.4023,0.760561,1,0.392068
AT1G42970.1,62,113,95,97,89,94,0.043,0.4962,1,0.910424,0.92281
AT3G62030.1,89,34,59,168,176,24,0.707,7.8742,1e-6,0,0.919852
AT1G62750.1,109,84,90,124,82,56,-0.075,-0.8961,1,1,0.758845
AT2G28000.1,76,102,66,82,99,118,0.204,2.3039,0.737198,0.528471,0.933894
AT3G29320.1,88,80,78,88,95,92,0.111,1.3049,0.967589,0.781438,0.937843
AT4G20360.1,88,92,79,76,73,89,-0.082,-0.9081,1,1,0.75663
AT2G21330.1,93,94,104,34,60,77,-0.536,-5.5826,0.011458,0.925456,0.005419
AT4G24280.1,97,86,67,59,63,63,-0.297,-3.0234,0.518746,0.988457,0.226892
AT1G32060.1,52,85,75,65,66,81,0.008,0.0794,1,0.964842,0.895943
AT3G11630.1,59,83,67,48,88,60,-0.065,-0.6772,1,1,0.797976
AT1G10760.1,104,77,41,67,51,41,-0.331,-3.1761,0.448052,0.982739,0.193293
AT3G58610.1,56,61,64,86,78,35,0.092,0.8843,1,0.854317,0.933927
AT3G55800.1,87,72,76,38,41,41,-0.669,-5.8665,0.006416,0.923292,0.003343
AT1G63770.3,75,69,65,44,47,49,-0.393,-3.6758,0.254706,0.963975,0.108291
AT3G54050.1,78,77,63,50,48,32,-0.518,-4.6765,0.065393,0.937592,0.025219
AT2G04030.1,84,44,53,60,60,39,-0.134,-1.263,1,1,0.684643
AT2G21170.1,46,51,53,53,52,37,-0.052,-0.4327,1,1,0.836336
AT2G43750.1,53,55,52,41,44,47,-0.187,-1.5856,0.946075,1,0.611054
AT1G09340.1,69,47,49,46,30,35,-0.398,-3.2847,0.399576,0.978607,0.171613
AT2G15620.1,46,64,61,38,38,27,-0.509,-4.007,0.171591,0.953188,0.070391
AT5G49910.1,62,57,40,26,39,44,-0.372,-3.007,0.526355,0.989053,0.230653
AT4G24620.1,63,57,47,36,36,31,-0.48,-3.9681,0.179856,0.954328,0.074161
AT5G51820.1,53,52,70,38,33,22,-0.636,-4.9942,0.036121,0.932379,0.014799
AT1G29900.1,61,46,18,55,57,27,0.102,0.7976,1,0.867305,0.932309
AT2G37660.1,42,40,34,49,59,39,0.232,1.8866,0.859658,0.64111,0.937371
sum_5,57,61,54,48,30,11,-0.662,-5.0667,0.031373,0.931342,0.013097
AT5G45390.1,45,57,44,37,45,31,-0.25,-1.9856,0.861875,1,0.508968
AT3G04790.1,38,44,53,21,59,42,-0.105,-0.8262,1,1,0.77163
AT1G74260.1,62,46,20,30,45,26,-0.236,-1.7557,0.910131,1,0.569018
AT5G60600.1,50,40,31,34,37,26,-0.223,-1.6054,0.941841,1,0.606456
AT5G65620.1,67,36,29,25,27,25,-0.541,-3.7674,0.22851,0.960807,0.096597
AT5G19220.1,44,45,40,28,24,17,-0.63,-4.1262,0.148121,0.94979,0.059439
AT5G26570.1,51,42,7,36,36,23,-0.054,-0.3831,1,1,0.84344
AT1G56190.1,44,36,40,31,23,18,-0.506,-3.3703,0.363438,0.975303,0.155659
AT3G48110.1,47,34,13,37,37,20,-0.003,-0.0199,1,0.976284,0.88683
AT5G15450.1,35,24,27,39,42,17,0.137,0.9257,1,0.847994,0.934566
AT4G29060.1,42,24,10,49,34,20,0.311,2.0685,0.803531,0.592479,0.936047
AT2G05710.1,41,32,26,28,25,24,-0.254,-1.6448,0.93346,1,0.596816
AT5G54770.1,31,33,25,33,25,28,-0.032,-0.2089,1,0.996137,0.866144
AT5G63570.1,33,39,25,29,28,16,-0.273,-1.7974,0.901423,1,0.558531
AT5G04590.1,26,49,27,21,24,24,-0.39,-2.5689,0.707969,1,0.344664
AT3G22960.1,35,30,27,33,26,18,-0.176,-1.1268,1,1,0.713423
AT2G37220.1,31,28,24,22,29,31,-0.01,-0.0634,1,0.981172,0.882389
AT5G53460.1,36,29,9,51,30,10,0.204,1.2857,0.969305,0.785263,0.937759
AT4G31990.1,21,35,39,29,20,18,-0.355,-2.1305,0.829933,1,0.469013
AT2G36390.1,49,29,36,20,16,9,-0.934,-5.1975,0.02431,0.929595,0.010485
AT5G20720.1,27,30,34,24,28,17,-0.278,-1.684,0.925175,1,0.587053
AT5G22800.1,40,36,8,37,22,12,-0.171,-1.0469,1,1,0.729502
AT3G52960.1,29,27,27,28,28,12,-0.204,-1.2305,1,1,0.691575
AT5G35970.1,33,27,16,22,25,22,-0.101,-0.6186,1,1,0.807754
AT1G80380.2,20,42,29,24,13,13,-0.604,-3.4933,0.315644,0.970637,0.134926
AT2G40490.1,43,28,22,15,15,15,-0.73,-3.9399,0.18606,0.955179,0.077011
AT1G23740.1,24,33,29,16,16,19,-0.525,-2.8991,0.575679,0.992957,0.256554
AT4G33680.1,36,32,27,22,12,7,-0.85,-4.5511,0.080904,0.939983,0.031015
AT1G63940.1,22,26,27,23,20,17,-0.223,-1.2899,1,1,0.678915
AT2G05990.1,23,25,31,21,21,13,-0.364,-2.1161,0.833214,1,0.473103
AT4G34200.1,31,23,19,23,19,16,-0.214,-1.252,1,1,0.686857
AT5G24300.1,27,34,22,26,18,6,-0.506,-2.9022,0.574288,0.992851,0.255823
AT5G30510.1,29,21,23,25,19,11,-0.274,-1.5412,0.955624,1,0.621556
AT5G48300.1,32,26,24,19,14,12,-0.611,-3.2358,0.4211,0.980453,0.18105
AT4G24770.1,17,20,20,29,22,19,0.209,1.138,0.982469,0.813083,0.936859
AT5G17920.1,29,18,25,16,18,19,-0.299,-1.6147,0.939858,1,0.603969
AT2G47390.1,48,44,32,0,0,0,-3.878,-6.1374,0.003544,0.921749,0.00214
AT1G69830.1,23,17,20,23,17,23,0.04,0.2245,1,0.946784,0.907404
AT5G36880.1,33,35,26,13,6,9,-1.222,-5.4234,0.015659,0.92699,0.007127
AT2G41680.1,30,19,22,24,13,14,-0.334,-1.8866,0.882796,1,0.535234
AT3G23940.1,29,24,15,22,19,13,-0.233,-1.2395,1,1,0.689692
AT5G61410.1,17,11,32,15,29,15,-0.021,-0.1196,1,0.987135,0.876441
AT1G16880.1,24,25,24,15,15,15,-0.487,-2.5609,0.710711,1,0.347134
AT5G08280.1,18,17,23,15,24,21,0.03,0.1645,1,0.954411,0.902944
AT4G00490.1,31,25,25,18,10,7,-0.857,-4.3281,0.113402,0.944754,0.044107
AT3G48420.1,19,23,24,23,19,8,-0.278,-1.4795,0.969021,1,0.636006
AT3G05350.1,29,26,15,16,14,14,-0.474,-2.4321,0.75182,1,0.383283
AT5G06290.1,28,15,21,19,11,17,-0.29,-1.5105,0.962272,1,0.628818
AT1G16080.1,17,16,30,26,16,8,-0.235,-1.2631,1,1,0.684643
AT5G58330.1,30,23,22,11,16,10,-0.708,-3.543,0.297854,0.96883,0.127391
AT3G63140.1,20,26,22,15,14,15,-0.438,-2.274,0.795356,1,0.428462
AT5G16710.1,20,28,17,14,14,19,-0.331,-1.7302,0.915468,1,0.57569
AT5G55220.1,23,28,25,17,11,6,-0.813,-4.0092,0.171133,0.953102,0.070107
AT3G54660.1,21,19,30,17,12,11,-0.569,-2.8615,0.59239,0.994325,0.266151
AT5G49030.1,26,27,11,15,18,13,-0.342,-1.7562,0.910027,1,0.569018
AT4G15530.1,31,24,18,13,10,13,-0.714,-3.5134,0.308341,0.969923,0.131917
AT1G04420.1,27,24,19,17,9,13,-0.605,-3.0513,0.505776,0.987423,0.220487
AT3G48730.1,26,15,17,25,17,6,-0.187,-0.9729,1,1,0.743968
AT5G52920.1,15,14,21,27,21,10,0.159,0.8097,1,0.865567,0.932552
AT1G31230.1,26,14,18,20,16,12,-0.194,-0.9964,1,1,0.739384
AT1G02560.1,12,22,20,19,22,12,-0.026,-0.1363,1,0.988963,0.874489
AT4G18440.1,19,21,29,15,7,14,-0.654,-3.11,0.478493,0.98523,0.207389
AT5G04360.1,26,19,12,14,14,15,-0.283,-1.3995,0.986592,1,0.654492
AT1G76080.1,18,22,15,18,23,3,-0.237,-1.1373,1,1,0.711001
AT4G39970.1,15,20,20,23,14,7,-0.233,-1.1332,1,1,0.711911
AT1G20620.1,23,13,20,13,3,25,-0.299,-1.4678,0.971578,1,0.638726
AT1G18500.1,22,22,14,14,17,7,-0.431,-2.0601,0.845722,1,0.48854
AT4G01310.1,8,11,18,26,17,16,0.478,2.2455,0.75219,0.544561,0.934447
AT2G19940.1,23,13,17,15,10,17,-0.222,-1.079,1,1,0.723008
AT5G26000.1,18,10,8,24,18,17,0.514,2.3381,0.728937,0.519123,0.933577
ATCG00480.1,13,24,27,21,9,0,-0.73,-3.124,0.472009,0.984678,0.204198
AT1G69740.1,28,19,15,17,14,0,-0.674,-3.1411,0.464113,0.984015,0.200413
AT3G47520.1,19,15,22,11,10,16,-0.42,-2.068,0.843979,1,0.486114
AT1G09130.1,13,17,16,23,17,7,0.016,0.0777,1,0.965017,0.895816
AT5G26742.1,23,14,3,12,14,25,0.259,1.2814,0.969686,0.786137,0.937738
AT5G66190.1,14,8,21,11,20,16,0.078,0.376,1,0.926869,0.916896
AT1G16720.1,21,25,10,12,9,13,-0.502,-2.2909,0.791012,1,0.423871
AT4G29840.1,14,16,23,21,9,5,-0.425,-1.9552,0.868348,1,0.51688
AT5G16715.1,24,14,12,15,13,10,-0.273,-1.3243,1,1,0.671197
AT3G55040.1,12,16,17,19,14,10,-0.039,-0.1839,1,0.993702,0.869106
AT4G09020.1,32,21,9,8,9,8,-0.933,-3.8677,0.202831,0.957447,0.08474
AT5G52520.1,17,14,24,14,8,10,-0.548,-2.4522,0.745768,1,0.377852
AT5G09650.1,18,29,20,11,3,5,-1.279,-4.8842,0.044629,0.934069,0.017832
AT2G42130.3,20,18,16,13,19,0,-0.515,-2.3337,0.779702,1,0.411328
ATCG00120.1,18,20,15,17,12,4,-0.476,-2.1336,0.829223,1,0.468194
AT3G03710.1,20,14,4,19,18,9,0.192,0.8786,1,0.855211,0.933829
AT2G47940.1,15,18,12,16,8,13,-0.202,-0.8978,1,1,0.758569
AT1G03475.1,16,11,21,9,11,13,-0.383,-1.6993,0.921954,1,0.583405
AT5G17530.1,14,15,16,15,9,12,-0.226,-0.9776,1,1,0.743112
AT1G70820.1,18,18,14,13,9,8,-0.508,-2.2686,0.796731,1,0.43013
AT1G24360.1,13,10,15,13,11,18,0.106,0.4847,1,0.912047,0.922293
AT1G06680.1,10,11,13,13,19,13,0.292,1.2263,0.974512,0.796671,0.937456
AT1G20020.1,20,16,15,14,9,4,-0.671,-2.9209,0.565856,0.992162,0.251103
AT2G35040.1,17,23,15,9,8,6,-0.879,-3.4914,0.316342,0.970747,0.135393
AT3G22890.1,14,14,11,15,17,5,-0.038,-0.1685,1,0.992242,0.870816
