Accession,STN,pVal
AT5G54810.1,-0.0861,0.6853
AT4G34740.1,-0.3377,0.3473
AT4G27440.1,-0.1033,0.6558
AT5G54190.1,-0.4825,0.2208
AT5G38410.1_AT5G38420.1,-0.7869,0.0939
ATCG01310.1_ATCG00830.1,0.8674,0.0745
AT5G42270.1,-0.0777,0.6972
AT1G50010.1,-0.0528,0.7363
AT5G13110.1,1.0835,0.0417
AT1G27510.1,3.9245,0
AT4G33630.1,3.6752,0
AT3G17800.1,3.3511,0
AT1G36180.1,3.3473,0
AT5G24060.1,2.7762,2e-04
AT4G11570.1,2.5754,4e-04
AT3G44720.1,1.7212,0.0073
AT5G66050.1,2.1992,0.0015
AT2G14910.1,2.5904,4e-04
AT1G48450.1,4.5425,0
AT4G09730.1,1.4311,0.0171
AT4G22240.1,1.6801,0.0079
AT4G21990.1,2.2502,0.0012
AT1G74850.1,1.5062,0.014
AT4G25370.1,1.4525,0.0159
AT2G44650.1,1.4148,0.0181
AT1G30680.1,1.6064,0.0106
AT1G23180.1,2.0993,0.0022
ATCG00180.1,1.6681,0.0082
AT5G64840.1,1.7128,0.0075
AT4G36390.1,1.4882,0.0147
AT3G02060.1,1.2714,0.025
AT5G26742.1,2.9616,1e-04
ATCG00190.1,1.48,0.015
AT3G48500.1,1.6902,0.0077
AT5G20720.1,2.0781,0.0023
AT1G62180.1,2.9856,1e-04
AT3G04260.1,1.6415,0.0091
AT4G31210.1,1.3184,0.0223
AT2G35390.1,1.1992,0.03
AT4G04610.1,2.6212,4e-04
AT5G45930.1,1.1384,0.0368
AT1G35340.1,1.1374,0.0369
AT3G10270.1,1.0906,0.0409
AT4G15560.1,1.5299,0.0125
AT3G48870.1,4.3265,0
AT5G52920.1,1.0731,0.0429
AT2G29630.1,1.2343,0.0278
AT2G03390.1,1.5322,0.0125
AT4G12060.1,1.1733,0.0332
AT3G21200.1,0.9478,0.0602
AT2G44530.1,1.0644,0.0441
AT5G60600.1,1.9465,0.004
AT3G29240.1,2.5458,5e-04
AT3G07630.1,0.8687,0.0742
AT4G30720.1,1.0169,0.0501
AT5G46580.1,1.2984,0.0237
AT5G51070.1,2.5821,4e-04
AT4G04020.1,1.2186,0.0286
AT1G02150.1,1.4343,0.017
AT5G67030.1,1.0196,0.0495
AT3G10050.1,1.1058,0.0395
AT1G74960.1,0.7836,0.0951
AT3G10970.1,2.1271,0.002
AT1G75380.1,1.5993,0.0107
AT2G39670.1,1.3856,0.0191
AT1G19660.1,1.3657,0.0199
AT5G42390.1,1.3509,0.0205
AT1G32160.1,0.8258,0.0843
AT5G51110.1,0.8033,0.0903
AT1G54870.1,1.6785,0.008
AT3G23400.1,0.646,0.1387
AT1G07320.1,0.8966,0.07
AT2G27820.1,0.8955,0.0703
AT4G33760.1,0.7383,0.1075
AT1G74470.1,1.1561,0.0345
AT5G55280.1,0.7575,0.1009
AT4G19170.1,1.3166,0.0223
AT4G04770.1,0.7027,0.1171
AT4G18240.1,0.7512,0.1031
AT3G48560.1,1.1646,0.0341
AT5G54770.1,1.089,0.041
AT1G14410.1,0.542,0.188
AT4G39980.1,0.9646,0.0566
AT2G47450.1,0.6875,0.1216
AT1G06690.1,0.5621,0.1759
AT2G47940.1,0.6036,0.1567
AT1G11750.1,0.8494,0.0791
AT1G17745.1,0.5594,0.1771
ATCG00170.1,0.5356,0.1909
AT5G52960.1,0.5029,0.2082
ATCG00670.1,0.8244,0.0849
AT1G08520.1,1.2161,0.0288
AT4G16390.1,0.9504,0.0597
AT4G17040.1,0.9523,0.0592
AT1G49970.1,0.9004,0.0693
