Accession,STN,pVal
AT5G54810.1,-0.0515,0.7405
AT4G34740.1,-0.3306,0.3504
AT4G27440.1,-0.0268,0.7771
AT5G54190.1,-0.3402,0.3404
AT5G38410.1_AT5G38420.1,-0.7947,0.0905
ATCG01310.1_ATCG00830.1,0.8384,0.0796
AT5G42270.1,0.017,0.7916
AT1G50010.1,0,0.8146
AT5G13110.1,1.0541,0.043
AT1G27510.1,3.8287,0
AT4G33630.1,3.5903,0
AT3G17800.1,3.3361,0
AT1G36180.1,3.2459,0
AT5G24060.1,2.7178,3e-04
AT4G11570.1,2.5631,5e-04
AT3G44720.1,1.6989,0.0072
AT5G66050.1,2.1757,0.0016
AT2G14910.1,2.5362,5e-04
AT1G48450.1,4.4076,0
AT4G09730.1,1.4413,0.0152
AT4G22240.1,1.6666,0.0078
AT4G21990.1,2.1999,0.0014
AT1G74850.1,1.5042,0.0124
AT4G25370.1,1.4373,0.0154
AT2G44650.1,1.37,0.0184
AT1G30680.1,1.54,0.0116
AT1G23180.1,2.0638,0.0023
ATCG00180.1,1.6085,0.0097
AT5G64840.1,1.6893,0.0075
AT4G36390.1,1.4308,0.0157
AT3G02060.1,1.2582,0.0243
AT5G26742.1,2.8797,2e-04
ATCG00190.1,1.4118,0.0167
AT3G48500.1,1.6223,0.0088
AT5G20720.1,1.9475,0.0037
AT1G62180.1,2.8683,2e-04
AT3G04260.1,1.6345,0.0084
AT4G31210.1,1.2467,0.0252
AT2G35390.1,1.1751,0.0307
AT4G04610.1,2.5181,5e-04
AT5G45930.1,1.1257,0.0358
AT1G35340.1,1.109,0.0378
AT3G10270.1,0.999,0.0506
AT4G15560.1,1.5061,0.0122
AT3G48870.1,4.0698,0
AT5G52920.1,1.0184,0.0473
AT2G29630.1,1.1761,0.0303
AT2G03390.1,1.4945,0.0135
AT4G12060.1,1.1154,0.0369
AT3G21200.1,0.9381,0.0598
AT2G44530.1,1.0734,0.0407
AT5G60600.1,1.9786,0.0034
AT3G29240.1,2.5056,6e-04
AT3G07630.1,0.8587,0.0746
AT4G30720.1,1.0162,0.0475
AT5G46580.1,1.3264,0.0205
AT5G51070.1,2.5124,5e-04
AT4G04020.1,1.208,0.0279
AT1G02150.1,1.4176,0.0165
AT5G67030.1,1.0446,0.0446
AT3G10050.1,1.1127,0.0373
AT1G74960.1,0.7264,0.1086
AT3G10970.1,2.1213,0.0019
AT1G75380.1,1.6017,0.0099
AT2G39670.1,1.3974,0.0174
AT1G19660.1,1.3567,0.0191
AT5G42390.1,1.3672,0.0184
AT1G32160.1,0.8409,0.0784
AT5G51110.1,0.8167,0.0855
AT1G54870.1,1.643,0.0082
AT3G23400.1,0.6625,0.1304
AT1G07320.1,0.8836,0.0691
AT2G27820.1,0.8696,0.0715
AT4G33760.1,0.7167,0.1119
AT1G74470.1,1.1517,0.033
AT5G55280.1,0.7562,0.1007
AT4G19170.1,1.3169,0.0209
AT4G04770.1,0.6847,0.1231
AT4G18240.1,0.6857,0.123
AT3G48560.1,1.1628,0.0325
AT5G54770.1,1.0688,0.0412
AT1G14410.1,0.5153,0.1968
AT4G39980.1,0.9327,0.0604
