Protein,wt_clpc1_rep1,wt_clpc1_rep2,wt_clpc1_rep3,trap_clpc1_rep1,trap_clpc1_rep2,trap_clpc1_rep3,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
AT5G54810.1,0,0,0,0,0,0,-0.036,-0.0418,0.967786,0.987251,1
AT4G34740.1,0,0,0,0,0,0,0.003,0.0035,1,1,0.978461
AT4G27440.1,0,0,0,0,0,0,0.028,0.0339,1,0.979511,0.99268
AT5G54190.1,0,0,0,0,0,0,0.014,0.0148,1,1,0.983976
AT5G38410.1_AT5G38420.1,0,0,0,0,0,0,-0.008,-0.0088,0.979717,1,0.975113
ATCG01310.1_ATCG00830.1,0,0,0,0,0,0,-0.02,-0.022,0.954249,0.995652,0.97803
AT5G42270.1,0,0,0,0,0,0,-0.026,-0.0314,0.94337,0.990741,0.98776
AT1G50010.1,0,0,0,0,0,0,0.026,0.0278,1,0.98977,0.990054
AT5G13110.1,0,0,0,0,0,0,0.013,0.0146,1,1,0.983875
AT1G27510.1,0,0,0,0,0,0,0.004,0.0048,1,1,0.979011
AT4G33630.1,0,0,0,0,0,0,0.024,0.0292,1,0.987779,0.990663
AT3G17800.1,0,0,0,0,0,0,-0.019,-0.0222,0.95387,0.995549,0.978158
AT1G36180.1,0,0,0,0,0,0,0.01,0.0115,1,1,0.98228
AT5G24060.1,0,0,0,0,0,0,-0.084,-0.0938,0.936446,0.997234,0.674679
AT4G11570.1,0,0,0,0,0,0,0.05,0.0546,1,0.895109,1
AT3G44720.1,0,0,0,0,0,0,-0.009,-0.0105,0.976621,1,0.974999
AT5G66050.1,0,0,0,0,0,0,-0.046,-0.0537,1,0.988482,1
AT2G14910.1,0,0,0,0,0,0,0.027,0.0312,1,0.984575,0.991526
AT1G48450.1,0,0,0,0,0,0,-0.065,-0.0762,1,0.99648,0.856291
AT4G09730.1,0,0,0,0,0,0,-0.014,-0.0167,0.964782,0.99833,0.975653
AT4G22240.1,0,0,0,0,0,0,-0.017,-0.0182,0.961775,0.99759,0.976135
AT4G21990.1,0,0,0,0,0,0,-0.05,-0.0588,1,0.990386,0.985894
AT1G74850.1,0,0,0,0,0,0,0.026,0.0305,1,0.985805,0.991209
AT4G25370.1,0,0,0,0,0,0,-0.004,-0.004,0.988567,1,0.975937
AT2G44650.1,0,0,0,0,0,0,-0.038,-0.042,0.968788,0.987223,1
AT1G30680.1,0,0,0,0,0,0,-0.012,-0.014,0.970072,0.999575,0.975136
AT1G23180.1,0,0,0,0,0,0,-0.073,-0.0842,1,0.997396,0.777194
ATCG00180.1,0,0,0,0,0,0,-0.031,-0.0347,0.945637,0.989272,0.99268
AT5G64840.1,0,0,0,0,0,0,-0.001,-0.0017,0.993043,1,0.976568
AT4G36390.1,0,0,0,0,0,0,0.031,0.0344,1,0.978344,0.992919
AT3G02060.1,0,0,0,0,0,0,0.041,0.0457,1,0.940673,0.998045
AT5G26742.1,0,0,0,0,0,0,0.068,0.0776,0.849787,0.79446,0.998032
ATCG00190.1,0,0,0,0,0,0,-0.014,-0.0165,0.965181,0.998424,0.975602
AT3G48500.1,0,0,0,0,0,0,0.009,0.0101,1,1,0.981553
AT5G20720.1,0,0,0,0,0,0,-0.042,-0.0492,1,0.987359,1
AT1G62180.1,0,0,0,0,0,0,-0.023,-0.0252,0.948656,0.993949,0.980513
AT3G04260.1,0,0,0,0,0,0,-0.025,-0.0281,0.944965,0.992406,0.98352
AT4G31210.1,0,0,0,0,0,0,-0.096,-0.1121,0.75352,0.995638,0.454465
AT2G35390.1,0,0,0,0,0,0,0,4e-4,0.997307,1,0.977262
AT4G04610.1,0,0,0,0,0,0,0.027,0.0301,1,0.986433,0.991041
AT5G45930.1,0,0,0,0,0,0,0.006,0.0073,1,1,0.980168
AT1G35340.1,0,0,0,0,0,0,-0.026,-0.0291,0.94414,0.991895,0.984699
AT3G10270.1,0,0,0,0,0,0,-0.037,-0.0425,0.971386,0.987161,1
AT4G15560.1,0,0,0,0,0,0,-0.037,-0.0427,0.972461,0.98714,1
AT3G48870.1,0,0,0,0,0,0,-0.007,-0.008,0.981169,1,0.9752
AT5G52920.1,0,0,0,0,0,0,-0.028,-0.0318,0.943418,0.990554,0.988318
AT2G29630.1,0,0,0,0,0,0,-0.003,-0.0037,0.989139,1,0.97601
AT2G03390.1,0,0,0,0,0,0,-0.016,-0.0182,0.961775,0.99759,0.976135
AT4G12060.1,0,0,0,0,0,0,0.011,0.0126,1,1,0.982837
AT3G21200.1,0,0,0,0,0,0,0.007,0.0077,1,1,0.980358
AT2G44530.1,0,0,0,0,0,0,0.023,0.0253,1,0.99282,0.98897
AT5G60600.1,0,0,0,0,0,0,0.017,0.0188,1,0.998762,0.985976
AT3G29240.1,0,0,0,0,0,0,-0.007,-0.0076,0.981896,1,0.975252
AT3G07630.1,0,0,0,0,0,0,0.045,0.0532,1,0.902905,1
AT4G30720.1,0,0,0,0,0,0,-0.02,-0.0215,0.955208,0.995911,0.977722
AT5G46580.1,0,0,0,0,0,0,-0.062,-0.0694,1,0.994627,0.917648
AT5G51070.1,0,0,0,0,0,0,-0.038,-0.0429,0.973558,0.987119,1
AT4G04020.1,0,0,0,0,0,0,0.024,0.0283,1,0.98904,0.990285
AT1G02150.1,0,0,0,0,0,0,0.009,0.0108,1,1,0.981903
AT5G67030.1,0,0,0,0,0,0,-0.052,-0.0587,1,0.990346,0.986318
AT3G10050.1,0,0,0,0,0,0,-0.006,-0.0071,0.982807,1,0.975323
AT1G74960.1,0,0,0,0,0,0,0.077,0.085,0.828237,0.775382,0.995969
AT3G10970.1,0,0,0,0,0,0,0.062,0.0692,0.91404,0.822286,1
AT1G75380.1,0,0,0,0,0,0,-0.069,-0.0798,1,0.997047,0.82132
AT2G39670.1,0,0,0,0,0,0,-0.008,-0.0097,0.978081,1,0.975038
AT1G19660.1,0,0,0,0,0,0,0.024,0.028,1,0.989508,0.990138
AT5G42390.1,0,0,0,0,0,0,-0.004,-0.0041,0.988376,1,0.975913
AT1G32160.1,0,0,0,0,0,0,-0.005,-0.0051,0.986494,1,0.975691
AT5G51110.1,0,0,0,0,0,0,0.041,0.0452,1,0.943077,0.997813
AT1G54870.1,0,0,0,0,0,0,0.007,0.0083,1,1,0.98067
AT3G23400.1,0,0,0,0,0,0,-0.03,-0.0338,0.944576,0.989642,0.99131
AT1G07320.1,0,0,0,0,0,0,0.015,0.0182,1,0.999191,0.985686
AT2G27820.1,0,0,0,0,0,0,0.026,0.0302,1,0.986278,0.991083
AT4G33760.1,0,0,0,0,0,0,-0.017,-0.0197,0.95876,0.99685,0.976748
AT1G74470.1,0,0,0,0,0,0,-0.034,-0.0411,0.964444,0.987369,1
AT5G55280.1,0,0,0,0,0,0,-0.01,-0.0116,0.974596,1,0.974985
AT4G19170.1,0,0,0,0,0,0,0.025,0.0286,1,0.988629,0.990411
AT4G04770.1,0,0,0,0,0,0,0.065,0.0741,0.872538,0.80484,0.999086
