protein_id,val,gen,rep
AT3G24190.1,0.0,wt,rep1
AT1G71810.1,0.014402304,wt,rep1
AT4G31390.1,0.061609858,wt,rep1
AT3G10130.1,0.025604097,wt,rep1
AT3G27110.1,0.003200512,wt,rep1
AT5G08740.1,0.052008321,wt,rep1
AT2G34460.1,0.018402944,wt,rep1
AT2G46910.1,0.014402304,wt,rep1
AT1G78140.1,0.012802048,wt,rep1
AT1G54570.1,0.028804609,wt,rep1
AT1G06690.1,0.00800128,wt,rep1
AT5G41120.1,0.00400064,wt,rep1
AT1G28150.1,0.0,wt,rep1
AT3G26840.1,0.008801408,wt,rep1
AT1G79600.1,0.034405505,wt,rep1
AT3G07700.1,0.000800128,wt,rep1
AT2G42130.3,0.021603457,wt,rep1
AT4G38970.1,0.128660586,wt,rep1
AT3G43540.1,0.003200512,wt,rep1
AT2G35490.1,0.064010242,wt,rep1
AT3G58010.1,0.020803329,wt,rep1
AT4G13200.1,0.019203072,wt,rep1
AT4G22240.1,0.096015362,wt,rep1
AT4G04020.1,0.083213314,wt,rep1
AT3G23400.1,0.095215234,wt,rep1
AT2G41040.1,0.023203713,wt,rep1
AT4G32770.1,0.021603457,wt,rep1
AT1G32220.1,0.022403585,wt,rep1
AT5G05200.1,0.050408065,wt,rep1
AT4G19170.1,0.060009602,wt,rep1
AT3G24190.1,0.001067236,wt,rep2
AT1G71810.1,0.020277481,wt,rep2
AT4G31390.1,0.041622199,wt,rep2
AT3G10130.1,0.03094984,wt,rep2
AT3G27110.1,0.009605123,wt,rep2
AT5G08740.1,0.036286019,wt,rep2
AT2G34460.1,0.022411953,wt,rep2
AT2G46910.1,0.013874066,wt,rep2
AT1G78140.1,0.009605123,wt,rep2
AT1G54570.1,0.022411953,wt,rep2
AT1G06690.1,0.004268943,wt,rep2
AT5G41120.1,0.007470651,wt,rep2
AT1G28150.1,0.002134472,wt,rep2
AT3G26840.1,0.014941302,wt,rep2
AT1G79600.1,0.035218783,wt,rep2
AT3G07700.1,0.001067236,wt,rep2
AT2G42130.3,0.021344717,wt,rep2
AT4G38970.1,0.081109925,wt,rep2
AT3G43540.1,0.005336179,wt,rep2
AT2G35490.1,0.025613661,wt,rep2
AT3G58010.1,0.020277481,wt,rep2
AT4G13200.1,0.033084312,wt,rep2
AT4G22240.1,0.080256137,wt,rep2
AT4G04020.1,0.097972252,wt,rep2
AT3G23400.1,0.165421558,wt,rep2
AT2G41040.1,0.021344717,wt,rep2
AT4G32770.1,0.023479189,wt,rep2
AT1G32220.1,0.011739594,wt,rep2
AT5G05200.1,0.071504803,wt,rep2
AT4G19170.1,0.068303095,wt,rep2
AT3G24190.1,0.0,k1,rep1
AT1G71810.1,0.0,k1,rep1
AT4G31390.1,0.0,k1,rep1
AT3G10130.1,0.025387493,k1,rep1
AT3G27110.1,0.006680919,k1,rep1
AT5G08740.1,0.065473009,k1,rep1
AT2G34460.1,0.025387493,k1,rep1
AT2G46910.1,0.013361839,k1,rep1
AT1G78140.1,0.024051309,k1,rep1
AT1G54570.1,0.032068413,k1,rep1
AT1G06690.1,0.010689471,k1,rep1
AT5G41120.1,0.0,k1,rep1
AT1G28150.1,0.0,k1,rep1
AT3G26840.1,0.005344735,k1,rep1
AT1G79600.1,0.0,k1,rep1
AT3G07700.1,0.0,k1,rep1
AT2G42130.3,0.006680919,k1,rep1
AT4G38970.1,0.167557456,k1,rep1
AT3G43540.1,0.002672368,k1,rep1
AT2G35490.1,0.096205238,k1,rep1
AT3G58010.1,0.016034206,k1,rep1
AT4G13200.1,0.025387493,k1,rep1
AT4G22240.1,0.090593266,k1,rep1
AT4G04020.1,0.108498129,k1,rep1
AT3G23400.1,0.102886157,k1,rep1
AT2G41040.1,0.024051309,k1,rep1
AT4G32770.1,0.028059861,k1,rep1
AT1G32220.1,0.032068413,k1,rep1
AT5G05200.1,0.056119722,k1,rep1
AT4G19170.1,0.03474078,k1,rep1
AT3G24190.1,0.0,k1,rep2
AT1G71810.1,0.0,k1,rep2
AT4G31390.1,0.0,k1,rep2
AT3G10130.1,0.031560929,k1,rep2
AT3G27110.1,0.01069862,k1,rep2
AT5G08740.1,0.039049963,k1,rep2
AT2G34460.1,0.014443137,k1,rep2
AT2G46910.1,0.009093827,k1,rep2
AT1G78140.1,0.012303413,k1,rep2
