protein_id,STN,pVal
AT3G24190.1,0.4892,0.2319
AT1G71810.1,3.1751,0
AT4G31390.1,4.7476,0
AT3G10130.1,-1.0598,0.0632
AT3G27110.1,-0.3989,0.2788
AT5G08740.1,-0.5433,0.1955
AT2G34460.1,-0.3545,0.2909
AT2G46910.1,-0.2154,0.4626
AT1G78140.1,-0.295,0.3328
AT1G54570.1,-0.1038,0.5322
AT1G06690.1,0.0928,0.5328
AT5G41120.1,0.0745,0.5328
AT1G28150.1,0.1271,0.5328
AT3G26840.1,0.9096,0.0919
AT1G79600.1,3.0283,0
AT3G07700.1,1.2082,0.0465
AT2G42130.3,1.2197,0.0465
AT4G38970.1,0.0362,0.5369
AT3G43540.1,0.4209,0.265
AT2G35490.1,-0.4494,0.2539
AT3G58010.1,-0.1381,0.5161
AT4G13200.1,0.2586,0.4033
AT4G22240.1,-0.019,0.5528
AT4G04020.1,-0.6009,0.1665
AT3G23400.1,-0.3005,0.3328
AT2G41040.1,0.023,0.5535
AT4G32770.1,0.031,0.5535
AT1G32220.1,-0.5153,0.2292
AT5G05200.1,-0.0926,0.5322
AT4G19170.1,0.3258,0.3059
