Tissue,AT2G03390.1,AT1G02560.1,AT1G09130.1,AT1G11750.1,AT1G12410.1,AT1G33360.1,AT1G49970.1,AT1G66670.1,AT1G68660.1,AT3G48870.1,AT4G12060.1,AT4G17040.1,AT4G25370.1,AT5G15450.1,AT5G23140.1,AT5G45390.1,AT5G49840.1,AT5G50920.1,AT5G51070.1,AT5G53350.1,ATcG00670.1
sepal,0.8002485784020145,0.9495050971452123,0.906783099244605,0.8938872896582368,0.8629759857808003,0.8328986431225569,0.8815517474546474,0.8629534462883895,0.7500144896736926,0.7973667433009409,0.8982116522735908,0.9115550317806843,0.8971394164203422,0.891166450931525,0.871470154492121,0.9211439758376642,0.7315610852443603,1.0,0.9033055775583934,0.7975245197478152,0.9137027234146687
petal,0.7818833386611034,0.9393441795514579,0.8984504601510844,0.8975957736763296,0.838248902198967,0.7937715564379091,0.8519373454245672,0.850837020711005,0.7329239362686543,0.852657435604085,0.8746370106162827,0.8752797079260394,0.8940929050927874,0.9046217002876996,0.8943923818496896,0.8750912731127076,0.7512424920504064,1.0,0.8859296397866648,0.8033211635849724,0.8968622238672881
stamen,0.7809859805568767,0.9366438883508932,0.884350715344053,0.9062267953749867,0.8490505993423146,0.8686648165701126,0.858159644398211,0.8447219209066613,0.7179583694056536,0.836913190321554,0.8831085728364307,0.8882756119177243,0.88822428371493,0.917789328524451,0.9266040918843268,0.8894561605819934,0.7386059944497103,1.0,0.8845457625146712,0.8082617875217717,0.9076023912098741
carpel,0.7880415176408745,0.9307489598257386,0.8908529944306441,0.8938524069168583,0.8163933525048359,0.8352899947432977,0.8465833152956294,0.8540388995969861,0.6984748691836994,0.9007926282480752,0.8835004827233154,0.8768110713708999,0.8916019886139142,0.9150578752615468,0.8952782444675785,0.8736467427342411,0.7564051027805551,1.0,0.7551338741208767,0.801568077730479,0.8893137770264932
silique,0.7961507338251244,0.9242469520487001,0.8837329554802685,0.8877823405176901,0.826487544615426,0.7285166021428835,0.8687106099931838,0.8681398011570631,0.742699522870967,0.8861773603784798,0.8753051308998969,0.898711650879885,0.8921641377596761,0.9047387206495133,0.8849148655409421,0.8853715126098388,0.7491731666123839,1.0,0.7309375031478428,0.8011402745926272,0.8961765881077016
embryo,0.8052858811777255,0.9334608807544487,0.8719502903679122,0.8876555542386942,0.802008025328886,0.7665204950645921,0.8513011530061121,0.8809000558725428,0.0,0.8547280023026259,0.8661632494116451,0.8833686064033319,0.8388703587694495,0.8941266105683762,0.8439259773462234,0.8574031119313275,0.7271083419399624,1.0,0.8103279548956199,0.8630919526607181,0.8902460084993988
seed,0.8143840976148455,0.9591735800352981,0.9127374229762094,0.8631711952195283,0.8636386733107273,0.7182191117238762,0.8684218549395157,0.8635404351611276,0.8131036141476485,0.7785237854885315,0.8541027977547502,0.8819482318826833,0.8443535082875736,0.9387264948289471,0.9341397894993582,0.8875545814546699,0.7238627240422628,1.0,0.8069417109020635,0.7928631678076972,0.8491028146923622
seed imbibed,0.7908947234259496,0.9420613476081231,0.8585232390177585,0.8726586795819525,0.830123205030164,0.7558807035432067,0.8464780355170363,0.830157192624692,0.7643504120995837,0.7794612966267314,0.8838473957005692,0.8725601155578213,0.8828685529781629,0.9347336222278868,0.9168391537088962,0.8825864559435807,0.6915693771773302,1.0,0.8097306483133657,0.803684255246835,0.8950327130597332
pollen,0.8528816629168966,0.9184814138755641,0.8434117247527274,0.8369026899293912,0.8185889544509063,0.8533769155664983,0.8303936551060549,0.8315185861244359,0.6896711522406644,0.9065882752472726,0.8190346818355478,0.847165032332923,0.8172270096645018,0.9487767259554839,1.0,0.8762080627131354,0.7722156188535608,0.9794540900793819,0.7780312999674549,0.6705367123714111,0.8302061666029913
node,0.7939399077590884,0.9634800596852958,0.9089663591969614,0.9048155181768855,0.8524111502984265,0.7728330168204015,0.8742335865436788,0.8792152740097667,0.6899891481280521,0.8325217037438958,0.904517091698318,0.9045577862181227,0.8958152468800868,0.8910709441128595,0.8967851329354314,0.93002916440586,0.7432175800325557,1.0,0.825061041779707,0.8281165219750407,0.9132969343461748
internode,0.7969092248836669,0.9483222131376448,0.8976403651327189,0.9114859340459679,0.8406161362282852,0.7502178616250627,0.8742795425410572,0.8741314975757637,0.7459682981894773,0.8271743263112914,0.8974923201674253,0.9103655028313599,0.8820956437768962,0.8973442752021318,0.8815943096898794,0.9129125491660695,0.7377921785153109,1.0,0.8418812477498847,0.8263331617357599,0.9276934930873095
cauline leaf,0.8153081536221009,0.9555465108144718,0.9055156668341358,0.9048383711834549,0.8551636638832889,0.7381091686116393,0.872983217058947,0.8612116278626076,0.7303313979000655,0.788009641128699,0.8866308834097543,0.9103712088932416,0.8890825028777116,0.8853144496098395,0.8516817918762679,0.9161043734856241,0.7184739543254708,1.0,0.8637904390020541,0.7905280362241881,0.9069147752205186
leaf distal,0.8122063475310005,0.9389330800205977,0.8931480824034006,0.8983774551665243,0.8611801430961086,0.6989576436798153,0.8769258324617712,0.8569998432787368,0.7570436612645807,0.8335332329037891,0.8955628692145067,0.8827213208084259,0.8868216607976153,0.8948976034440298,0.8498642282117465,0.9181435246931942,0.7252228480411442,1.0,0.7934285814806641,0.7777660503363111,0.9308251534429104
