Tissue,AT1G11390.1,AT1G61640.1,AT1G65950.1,AT2G39190.1,AT2G40090.1,AT4G01660.1,AT4G24810.1,AT5G24810.1,AT5G24970.1,AT5G50330.1,AT5G64940.1,AT1G06690.1,AT1G17420.1,AT1G28150.1,AT1G32220.1,AT1G52590.1,AT1G54570.1,AT1G73750.1,AT1G78140.1,AT2G34460.1,AT2G35490.1,AT2G41040.1,AT2G42130.1,AT2G46910.1,AT3G10130.1,AT3G23400.1,AT3G26840.1,AT3G27110.1,AT3G43540.1,AT3G58010.1,AT4G04020.1,AT4G13200.1,AT4G19170.1,AT4G22240.1,AT4G32770.1,AT4G38970.1,AT5G08740.1,AT5G13800.1,AT5G41120.1,AT1G71810.1,AT1G79600.1,AT3G07700.1,AT3G24190.1,AT4G31390.1,AT5G05200.1
sepal,0.7100227536716152,0.5459449138383694,0.6051108247012587,0.7927601953951661,0.7701783696914729,0.7957961398316546,0.7852753512498608,0.8041402135344566,0.6527153245182745,0.6777825512753195,0.7867996881314939,0.8462679205053543,0.7947396057091031,0.8003341448279154,0.9089534902222859,0.6981176508027431,0.9498273585055771,0.7772049580727799,0.8129043550209238,0.8968669944468312,0.922456123601763,0.8105430649036548,0.9080878960014002,0.7891609782487629,0.7742262956067911,0.9112256750521107,0.0,0.8122074243798432,0.8660270179960857,0.855566693716486,0.9028275017105033,0.8898499530606074,0.845736471112384,0.9289162569414611,0.8898785940458575,1.0,0.8317723996372142,0.8031027734020717,0.7056184066065205,0.7859118175887473,0.8528998997565517,0.8533263322036055,0.8063773927156428,0.856397282288733,0.8455423488790237
petal,0.7476641729010807,0.6052069825436409,0.0,0.732831255195345,0.7805153782211139,0.8458719866999168,0.7226666666666667,0.8070723192019951,0.6729742310889443,0.7140914380714879,0.7939617622610141,0.8480798004987532,0.7682560266001662,0.757619285120532,0.9234314214463841,0.5600498753117207,0.9875411471321696,0.6893865336658355,0.8193117206982543,0.8641529509559435,0.9110756442227764,0.8038603491271821,0.8886683291770574,0.7949825436408977,0.8014297589359934,0.8862477140482128,0.0,0.7467564422277639,0.820568578553616,0.8316176226101413,0.9426201163757274,0.9118171238570241,0.8689476309226933,1.0,0.8536292601828761,0.9676974231088945,0.8254098088113051,0.7719634247714048,0.6912285951787198,0.7174197838736492,0.8131438071487948,0.831185369908562,0.7884655029093932,0.8284621778886119,0.8239600997506235
stamen,0.7808677687336292,0.596189383801695,0.0,0.6930545633822657,0.7840237182518521,0.8875630099910453,0.7161422960958121,0.8316212055660083,0.705195410625589,0.7225682251892396,0.7834904600442034,0.8394725103717045,0.7591752273055032,0.7654401727890746,0.9077698068532064,0.6548645557690824,0.9700469870911268,0.7145861212005352,0.8385904543427006,0.8792321081809858,0.9374343907944206,0.8467134189900292,0.8983489118514121,0.7912310886181233,0.8038347637397835,0.8943410907310333,0.0,0.7340919685947808,0.840679887445626,0.8448721689522984,0.9541968091706996,0.9167111048506374,0.7045179379341107,1.0,0.8912186794648637,0.9766976224733119,0.8385435007898259,0.7691629187669997,0.6959388530588562,0.7514647831584312,0.8228274758776122,0.861262312730785,0.7692434105719278,0.8368632343619515,0.8167637599063612
carpel,0.7430547842505693,0.5508482812239685,0.0,0.7904530182706726,0.7667886099850058,0.8555804687066142,0.7810990170489255,0.8361088743266508,0.7411909257510969,0.7262384072860555,0.8466290886877326,0.8376429999444661,0.7767361303937357,0.7667990226023214,0.8765375964902539,0.0,0.8603945687788083,0.0,0.7887175820514245,0.8546572166379741,0.9385863830732493,0.7839867829177541,0.896099433553618,0.791876075970456,0.7425237407674794,0.8898935136335869,0.0,0.629001915921586,0.8622723107680347,0.7692772255234075,0.8366642139168101,0.9219053701338369,0.6212965791081246,0.952799605708891,0.8650247126117621,1.0,0.8200942688954296,0.7172835563947354,0.7148227078358416,0.7539984450491476,0.7640362081412784,0.7719012050869106,0.7646089020936302,0.788224718165158,0.8060094685400123
silique,0.718473300897525,0.5864568748132255,0.5969766871824833,0.7870585825618917,0.7303429264083219,0.8103445381255058,0.7751251599125644,0.7972627669826303,0.6594475167803263,0.6628724157961714,0.830396986088866,0.828657674627878,0.7278447647732348,0.7620333155372895,0.8633263828029777,0.6823976979306223,0.8196958555364163,0.0,0.7628794670588511,0.8481795990181956,0.9051571592141535,0.7774957272705906,0.8807161396687249,0.7754810807906817,0.7373068877405404,0.88134403782163,0.0,0.6465034131469114,0.8459131217282981,0.7818339326906611,0.8662442624547124,0.9063693048462321,0.6228044550549159,0.8984080935064586,0.848075508950067,1.0,0.7839325227738996,0.631165237946538,0.67854300766573,0.7830091431372747,0.7887911785346133,0.7618822170512962,0.7596694636675296,0.7775561666649878,0.7871660303741534
embryo,0.6767092974281148,0.0,0.44967207963684735,0.6873123901082371,0.7487715521563855,0.7764860040513708,0.7461341498472379,0.8270779989169602,0.6850527146190307,0.645117295877095,0.7719332259207509,0.8324998830049672,0.7839569725696789,0.7800393103309956,0.9028306112489053,0.0,0.8681900534165892,0.7377105074910247,0.8423909773430762,0.8632796047573523,0.9223186409856998,0.8192125900026073,0.8731439573736954,0.7881119675890332,0.8191724774199587,0.9588779173547088,0.0,0.7458500190534767,0.8419898515165899,0.8450751776653139,0.8942766029990841,0.9375112816638699,0.6998743139077009,0.8822027156218453,0.9466068097794477,1.0,0.8338536826693587,0.7102066466549449,0.6167710708053938,0.7549856597517031,0.7416615968819152,0.8157094244512932,0.7107515092359221,0.7762353004098168,0.7533811564457578
seed,0.7354169302796406,0.0,0.5909614603381793,0.7064405921801846,0.7152580299286746,0.8047044093848438,0.6583043081574619,0.7313778245436443,0.7876356080635601,0.6057926037414172,0.6654168636826787,0.8028130556684003,0.6967906924086122,0.7976684403657506,0.9173198718674453,0.779986946995478,0.8588244304294838,0.7006533161957151,0.8298714012666741,0.9348481922254707,0.9289510312539542,0.836064918718408,0.9390571202141758,0.8106348688372836,0.8930386195781748,0.9815925997455995,0.0,0.7403784039372123,0.8427978715610994,0.9022256704649133,0.954637479438188,0.9713100288364844,0.8682878587078857,0.9481476055062368,0.9795713819535552,1.0,0.8659403158027931,0.8019805936453178,0.5538403138048842,0.7916014571415252,0.8100921035982338,0.8368407733239209,0.6642880451793789,0.8112575504305493,0.8470234487902661
seed imbibed,0.702505325416597,0.0,0.5917990225521956,0.6846926684850216,0.7169569798241382,0.797863925348983,0.6725615499998359,0.7200061705905715,0.7766508791450449,0.6610606194879066,0.6148435525534102,0.750363506864782,0.651105618847872,0.8426729160307348,0.9024718466805177,0.5807674507911813,0.8441138145737533,0.6299122660180982,0.8325636506264135,0.9094334544475845,0.9232286630496503,0.8308733026773142,0.8923691457342511,0.811921712273239,0.880914166428705,1.0,0.0,0.7479051173232766,0.8402243731763115,0.8754361261820128,0.9403487696564491,0.9465127957698632,0.8537405923110503,0.9273675538531728,0.9702170538055804,0.9491517079078744,0.8590085698999905,0.7870194406425293,0.5113483068621563,0.7656028962388939,0.7610471623488945,0.8269904257379272,0.6008317168355374,0.7732307964985181,0.75856251497517
pollen,0.8588020760274934,0.6254874456445505,0.7466510029457147,0.0,0.8057476504418573,1.0,0.7144480291766027,0.9097454060878104,0.7993302005891431,0.7961179688595877,0.7067155281245616,0.6363059335110114,0.6620318417730398,0.0,0.8994248842754945,0.0,0.7905877402160191,0.6670115023144901,0.8530754664048255,0.8186807406368356,0.8484990882311685,0.8820171131996072,0.6941401318558003,0.6800462898022163,0.8277633609201853,0.8154053864497125,0.0,0.7096647496142516,0.7361656613830833,0.7074414363865901,0.7242916257539628,0.8464511151634171,0.661744283910787,0.8420325431336794,0.9341702903633049,0.924312666573152,0.7991197923972507,0.0,0.612189647916959,0.613168046009258,0.6894234815542153,0.634191331182494,0.763392481413943,0.0,0.6574168887642026
node,0.6794163795474031,0.5193833810517462,0.5302340628588992,0.7122337069927694,0.7360767376781353,0.7829766584170428,0.7434269908283594,0.7688681839504377,0.5833001730803449,0.68829038676178,0.7632002070493846,0.8143899322236781,0.6344251953219779,0.807790233092315,0.8571715112987496,0.6785687711295515,0.7809870432377347,0.7274291907280698,0.7969039646721988,0.8611539768039986,0.9043917115543263,0.7868847155497324,0.870238268549522,0.7598065382313454,0.7896248847479012,0.923336730237298,0.0,0.6586661490432054,0.8371588942268808,0.8431762669643001,0.9024344478413484,0.8918555183513692,0.8018763850471523,0.9074586305624303,0.8445900260429304,1.0,0.8103621746655667,0.7046084663787386,0.7167952637453293,0.7285711974895261,0.7679979295061549,0.7759919768363501,0.7216738648679252,0.8066676372106566,0.7915983241940441
