Tissue,AT1G23180.1,AT1G33780.1,AT3G19780.1,AT3G29240.1,AT5G52960.1,AT1G32160.1,AT1G48450.1,AT1G63610.1,AT2G14910.1,AT3G17800.1,AT4G33630.1,AT1G27510.1,AT5G24060.1,AT3G49140.1,AT3G59300.1,AT3G09250.1,AT1G75380.1,AT1G19660.1,AT5G66050.1
sepal,0.9364997860504921,0.9010676759896366,0.9546795830450213,0.837319730461616,0.8634607940834933,0.9935795737213011,0.0,0.9660705695501783,0.8451317071342925,1.0,0.9676952708110992,0.8665218947991096,0.8998467062334,0.9076573131752848,0.0,0.9133590492327289,0.9524452474263099,0.9914033437195211,0.8044572194179597
petal,0.8950752713268759,0.8825003593317534,0.951010022097721,0.8117597665680039,0.8766502227749273,0.9133888804014432,0.7902970473141232,0.8948099844994388,0.0,0.890864621614909,0.8864561099252934,0.8671095440464516,0.9043348526084533,0.8677843794733023,0.8622406978468397,0.8633612523082222,0.9402509275343256,1.0,0.752480993332087
stamen,0.8788112187341969,0.8714145140544783,0.9378496015713934,0.6572999979007914,0.852070859721799,0.8818312512975999,0.0,0.842119529943572,0.0,0.8555750603033481,0.9047033417822838,0.8402333473435141,0.8727046922648128,0.8460301586367827,0.0,0.8806453809518087,0.9215029344516619,0.9561838096306717,0.7767456533931576
carpel,0.9142490372272144,0.8851870552117845,0.9464386955648312,0.858979364779478,0.7827923869448127,0.8534348692998641,0.741706688011384,0.9282583630491056,0.848607051858513,0.7424826035891542,0.9200615328175027,0.8876889428540296,0.9086098632652392,0.8613408631880307,0.0,0.8329467937240387,0.8665433822988924,0.9125877143769582,0.8122195737521032
silique,0.9222896487338078,0.8947250098585892,0.9067342246824847,0.8874992127967756,0.8716388163692216,0.9116182686394102,1.0,0.9548422073410047,0.0,0.8514201280577902,0.9505486259338313,0.8931256713211602,0.937686493753484,0.9205992509363297,0.8544073057119337,0.8999523334575067,0.8950831976044661,0.9366126067029751,0.7058873932822334
embryo,0.9300579608666899,0.8977544529496531,0.9883306176201423,0.0,0.8017756108809698,0.8257279290501766,0.7636472785485592,0.9099822087154388,0.0,0.8562486055508548,0.9090223118996797,0.8961300767446566,0.8528338853001933,0.8942212286997275,0.8574701006785189,0.8405253734212961,0.868512579261145,0.9059460205939979,0.0
seed,0.9147936359746373,0.8038122334956161,0.8425615499654024,0.905968050045133,0.7473007585053902,0.8871470038663579,0.0,0.8296579950062231,0.0,0.0,0.7607432297225186,1.0,0.7397203003574122,0.8736592348569524,0.9046187357150527,0.8380539232768945,0.8464916183394524,0.9696570831786913,0.6795623792609211
seed imbibed,0.9130509199828841,0.7351853967575377,0.8755250998861632,0.0,0.8309422432323365,0.8269697076531952,0.0,0.8452769102723671,0.0,0.9047101861089711,0.8004810899146211,0.8547105340992233,0.7645055251336197,0.8215816616663726,0.0,0.0,0.8743505325343063,0.922172640882452,0.0
pollen,0.8196133348893297,0.8546051588983441,0.9776879980357581,0.0,0.0,0.7688920749454519,0.0,0.7383764880156991,0.0,0.8698584292082897,0.9133537886872998,0.7050779121717337,0.8939280912876676,0.7969606055258153,0.0,0.896483490953371,0.7360231506377645,0.7805435917796633,0.7599278681373465
node,0.9316917571089587,0.8769537512392339,0.9067744023570903,0.0,0.8144503100730504,0.8999565181624811,0.8037442191390964,0.9243374082756198,0.8975382194244604,0.7509987413123187,0.8929262273212379,0.8622915985616215,0.8724136800341017,0.9322195423260191,0.9841338017006437,0.8598603650696373,0.9228105740847491,0.8778428952433561,0.0
